Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Peugeot,2008,1.2,2025,1,699990,Hybridní,Automatická,107
Peugeot,2008,1.2,2025,1,543990,Benzín,Manuální,74
Peugeot,2008,1.2,2025,1,714990,Hybridní,Automatická,107
Peugeot,Rifter,1.5,2025,3000,614900,Nafta,Manuální,96
Peugeot,308,1.5,2024,3000,684990,Nafta,Automatická,96
Peugeot,2008,1.2,2025,1,633990,Hybridní,Automatická,107
Peugeot,2008,1.2,2025,1,569990,Hybridní,Automatická,107
Peugeot,2008,1.2,2025,1,511990,Benzín,Manuální,74
Peugeot,2008,1.2,2025,1,599000,Hybridní,Automatická,107
Peugeot,3008,1.6,2018,43671,520000,Benzín,Automatická,121
Peugeot,308,1.2,2025,1,674990,Benzín,Automatická,110
Peugeot,5008,1.5,2021,65519,650000,Nafta,Automatická,96
Peugeot,5008,1.5,2022,9066,739000,Nafta,Automatická,96
Peugeot,5008,1.5,2021,70048,630000,Nafta,Manuální,96
Peugeot,3008,1.6,2025,0,999000,Hybridní,Automatická,110
Peugeot,308,1.2,2025,1,669990,Benzín,Automatická,96
Peugeot,5008,1.6,2020,41233,620000,Benzín,Automatická,129
Peugeot,308,1.5,2024,17048,619900,Nafta,Automatická,96
Peugeot,308,1.5,2023,32500,619000,Nafta,Automatická,96
Peugeot,3008,1.5,2024,36637,749900,Nafta,Automatická,96
Peugeot,5008,2.0,2020,92500,665500,Nafta,Automatická,130
Peugeot,408,1.2,2025,0,900000,Benzín,Automatická,96
Peugeot,3008,1.6,2021,32068,670000,Hybridní,Automatická,220
Peugeot,308,1.2,2025,1,689990,Benzín,Automatická,96
Peugeot,Rifter,1.5,2025,1,830000,Nafta,Automatická,96
Peugeot,308,1.2,2024,18757,619900,Benzín,Automatická,96
Peugeot,308,1.2,2024,3000,629990,Benzín,Automatická,96
Peugeot,2008,1.2,2025,0,654000,Hybridní,Automatická,100
Peugeot,3008,1.2,2025,0,789000,Hybridní,Automatická,107
Peugeot,2008,1.2,2025,0,638000,Hybridní,Automatická,100
Peugeot,408,1.2,2025,0,742000,Hybridní,Automatická,100
Peugeot,408,1.6,2023,22750,849000,Hybridní,Automatická,110
Peugeot,5008,1.2,2025,0,942000,Hybridní,Automatická,100
Peugeot,3008,1.2,2025,0,759000,Hybridní,Automatická,107
Peugeot,508,1.6,2023,39710,819000,Hybridní,Automatická,133
Peugeot,3008,1.5,2024,18756,749900,Nafta,Automatická,96
Peugeot,5008,2.0,2020,107624,579900,Nafta,Automatická,130
Peugeot,3008,1.2,2025,0,872000,Hybridní,Automatická,100
Peugeot,3008,1.2,2025,0,857000,Hybridní,Automatická,100
Peugeot,308,1.5,2025,0,643500,Nafta,Automatická,96
Peugeot,5008,1.5,2020,96910,550000,Nafta,Automatická,96
Peugeot,2008,1.2,2025,0,520000,Benzín,Manuální,74
Peugeot,2008,1.2,2025,0,538000,Benzín,Manuální,74
Peugeot,2008,1.2,2025,0,619000,Benzín,Automatická,96
Peugeot,308,1.5,2023,40815,645900,Nafta,Automatická,96
Peugeot,2008,1.2,2025,1,525000,Benzín,Manuální,100
Peugeot,5008,1.2,2025,0,896000,Benzín,Automatická,100
Peugeot,408,1.2,2025,0,724900,Hybridní,Automatická,107
Peugeot,408,1.2,2023,44650,589900,Benzín,Automatická,96
Peugeot,Rifter,1.5,2020,96477,519990,Nafta,Automatická,96
Peugeot,508,1.6,2023,47810,749000,Hybridní,Automatická,133
Peugeot,308,1.2,2024,7000,630000,Hybridní,Automatická,100
Peugeot,3008,1.6,2022,36052,699990,Hybridní,Automatická,133
