Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Volvo,Xc60,2.0,2018,108673,600000,Nafta,Manuální,110,Sauto
Škoda,Karoq,1.5,2021,54693,600000,benzín,automat,110,Autoesa
Mercedes Benz,Cla,1.3,2020,125913,600000,Benzín,Automatická,120,Sauto
Honda,Cr V,2.0,2019,116030,600000,Hybridní,Automatická,135,Sauto
Škoda,Kodiaq,2.0,2019,92680,600000,nafta,automat,110,Autoesa
Škoda,Kodiaq,2.0,2017,120063,600000,nafta,automat,140,Autoesa
Renault,Arkana,1.3,2024,0,601200,Benzín,Automatická,103,Sauto
Dacia,Jogger,1.6,2025,0,601900,Hybridní,Automatická,103,Sauto
Opel,Combo,1.5,2025,0,602191,Nafta,Manuální,75,Sauto
Mg,Ostatni,1.5,2022,28000,602580,Benzín,Automatická,127,Sauto
Dacia,Duster,1.2,2025,0,603000,Benzín,Manuální,96,Sauto
Renault,Clio,1.6,2025,0,603000,Hybridní,Automatická,105,Sauto
Honda,Jazz,1.5,2025,8,603700,Hybridní,Automatická,90,Sauto
Mazda,Cx 5,2.2,2021,22000,603790,Nafta,Manuální,110,Sauto
Dacia,Jogger,1.6,2025,0,603900,Hybridní,Automatická,104,Sauto
Skoda,Superb,1.4,2021,91604,604000,Hybridní,Automatická,160,Sauto
Seat,Leon,2.0,2021,64730,604879,Nafta,Automatická,110,Sauto
Dacia,Bigster,1.2,2025,10,604900,Benzín,Manuální,103,Sauto
Bmw,Rada 5,2.0,2021,177000,604900,Nafta,Automatická,110,Sauto
Kia,Xcee D,1.5,2024,1400,604900,Benzín,Automatická,117,Sauto
Kia,Xcee D,1.5,2025,0,604900,Benzín,Manuální,103,Sauto
Fiat,600,1.2,2024,1,604900,Benzín,Automatická,74,Sauto
Jeep,Avenger,1.2,2025,11,604900,Hybridní,Automatická,74,Sauto
Jeep,Avenger,1.2,2025,2,604900,Benzín,Automatická,74,Sauto
Jeep,Avenger,1.1,2025,10,604900,Hybridní,Automatická,74,Sauto
Dacia,Bigster,1.2,2025,5,604900,Benzín,Manuální,103,Sauto
Ford,Puma,1.0,2025,0,604900,Benzín,Automatická,92,Sauto
Jeep,Avenger,1.2,2025,1,604900,Benzín,Automatická,74,Sauto
Kia,Cee D,1.5,2025,5,604980,Benzín,Manuální,103,Sauto
Peugeot,408,1.2,2023,18900,605000,Benzín,Automatická,96,Sauto
Audi,A6,3.0,2020,199000,605000,Nafta,Automatická,170,Sauto
Volkswagen,Passat Variant,1.5,2021,80197,605000,Benzín,Automatická,110,Sauto
Škoda,Kodiaq,2.0,2018,120381,605000,nafta,automat,140,Autoesa
Peugeot,2008,1.2,2025,10,606000,Hybridní,Automatická,100,Sauto
Opel,Mokka,1.2,2025,0,606190,Benzín,Automatická,96,Sauto
Dacia,Duster,1.2,2025,11,607000,Benzín,Manuální,96,Sauto
Dacia,Bigster,1.2,2025,5,607000,Benzín,Manuální,96,Sauto
Dacia,Duster,1.2,2025,5,607000,Benzín,Manuální,96,Sauto
Fiat,Doblo,1.2,2024,5,607900,Benzín,Manuální,81,Sauto
Skoda,Kodiaq,2.0,2021,173004,608000,Nafta,Automatická,147,Sauto
Bmw,Rada 3,2.0,2020,120375,608000,Nafta,Automatická,140,Sauto
Skoda,Superb,2.0,2022,119783,608000,Nafta,Automatická,110,Sauto
Dacia,Duster,1.2,2025,6,608500,Benzín,Manuální,96,Sauto
Peugeot,508,1.5,2020,61147,609000,Nafta,Automatická,96,Sauto
Opel,Combo,1.2,2025,0,609000,Benzín,Manuální,81,Sauto
Mitsubishi,Eclipse Cross,2.4,2021,55719,609000,Hybridní,Automatická,138,Sauto
Kia,Cee D,1.5,2025,7,609000,Benzín,Automatická,103,Sauto
Škoda,Kodiaq,2.0,2018,94479,609000,nafta,automat,110,Autoesa
Mazda,3,2.0,2023,31000,609000,Benzín,Automatická,110,Sauto
Fiat,600,1.2,2024,5,609900,Benzín,Automatická,74,Sauto
Seat,Leon,1.5,2024,0,609900,Benzín,Automatická,85,Sauto
Hyundai,Tucson,1.6,2023,14086,609900,Benzín,Manuální,110,Sauto
Hyundai,Tucson,1.6,2023,15313,609900,Benzín,Manuální,110,Sauto
Volkswagen,Amarok,3.0,2019,233601,609900,Nafta,Automatická,150,Sauto
Dacia,Jogger,1.6,2025,1,609900,Hybridní,Automatická,103,Sauto
Kia,Sportage,1.6,2025,5,609980,Benzín,Manuální,118,Sauto
Kia,Sportage,1.6,2024,5,609980,Benzín,Manuální,118,Sauto
Renault,Arkana,1.3,2023,23655,609990,Benzín,Automatická,103,Sauto
Opel,Astra,1.2,2025,3,609990,Benzín,Manuální,96,Sauto
Citroen,Spacetourer,2.0,2018,147805,609999,Nafta,Automatická,130,Sauto
Mercedes Benz,Tridy E,3.0,2018,217270,609999,Nafta,Automatická,190,Sauto
Peugeot,Traveller,2.0,2018,78627,609999,Nafta,Automatická,130,Sauto
Volkswagen,Tiguan,2.0,2017,30493,610000,benzín,automat,162,Autoesa
Mazda,3,2.0,2023,28500,610000,Benzín,Automatická,110,Sauto
Volvo,Xc60,2.0,2019,150472,610000,Benzín,Automatická,185,Sauto
Škoda,Karoq,2.0,2020,107806,610000,nafta,manual,110,Autoesa
Honda,Cr V,2.0,2019,87912,610000,Hybridní,Automatická,135,Sauto
Citroen,Berlingo,1.5,2025,5,610900,Nafta,Manuální,96,Sauto
Kia,Cee D Sw,1.5,2023,32000,610980,Benzín,Manuální,118,Sauto
Mazda,Cx 5,2.5,2019,90001,611000,Benzín,Automatická,143,Sauto
Porsche,Panamera,4.8,2010,143300,611000,Benzín,Automatická,294,Sauto
Opel,Combo,1.2,2024,5,611500,Benzín,Manuální,81,Sauto
Opel,Mokka,1.2,2024,0,611899,Benzín,Automatická,96,Sauto
Kia,Xcee D,1.5,2024,0,611900,Benzín,Automatická,103,Sauto
Dacia,Bigster,1.2,2025,5,612000,Benzín,Manuální,96,Sauto
Bmw,Rada 5,2.0,2020,79000,612000,Nafta,Automatická,140,Sauto
Mitsubishi,Asx,1.3,2025,5,612850,Benzín,Manuální,103,Sauto
Hyundai,Kona,1.0,2025,30,612890,Benzín,Manuální,74,Sauto
Seat,Leon,1.5,2023,30270,613000,Benzín,Automatická,110,Sauto
Citroen,Berlingo,1.5,2025,1,613001,Nafta,Manuální,75,Sauto
Nissan,Townstar,1.3,2024,2,613200,Benzín,Manuální,96,Sauto
Ford,Puma,1.0,2025,0,613300,Hybridní,Automatická,92,Sauto
Dacia,Duster,1.2,2025,5,613400,Benzín,Manuální,96,Sauto
Citroen,Spacetourer,2.0,2018,154000,614000,Nafta,Manuální,110,Sauto
Mitsubishi,Asx,1.3,2025,5,614850,Benzín,Automatická,116,Sauto
Nissan,Qashqai,1.3,2025,2,614890,Benzín,Manuální,103,Sauto
Kia,Cee D,1.5,2025,5,614900,Benzín,Automatická,103,Sauto
Toyota,Yaris Cross,1.5,2025,2,614900,Hybridní,Automatická,85,Sauto
Dacia,Duster,1.2,2025,6,614900,Benzín,Manuální,96,Sauto
Honda,Jazz,1.5,2024,6,614900,Hybridní,Automatická,90,Sauto
Peugeot,Rifter,1.5,2025,3000,614900,Nafta,Manuální,96,Sauto
Honda,Jazz,1.5,2025,6,614900,Hybridní,Automatická,90,Sauto
Nissan,Qashqai,1.3,2025,1,614900,Benzín,Manuální,103,Sauto
Hyundai,Tucson,1.6,2022,45838,614990,Benzín,Automatická,132,Sauto
Nissan,Qashqai,1.3,2025,0,614990,Benzín,Manuální,103,Sauto
Renault,Espace,1.8,2018,73814,614990,Benzín,Automatická,165,Sauto
Citroen,Berlingo,1.5,2025,1,614999,Nafta,Manuální,75,Sauto
Jeep,Wrangler,3.6,2015,102013,615000,LPG + benzín,Automatická,209,Sauto
Toyota,Proace City Verso,1.5,2022,18165,615000,Nafta,Manuální,96,Sauto
Ford,Transit Custom,2.0,2019,115000,615000,Nafta,Automatická,96,Sauto
Volkswagen,Golf Variant,1.5,2024,2200,615000,Benzín,Manuální,110,Sauto
Audi,Q7,3.0,2017,243395,615000,Nafta,Automatická,200,Sauto
Volvo,V90,2.0,2018,156094,615000,Nafta,Automatická,173,Sauto
Mitsubishi,Eclipse Cross,2.4,2022,11243,615000,Hybridní,Automatická,138,Sauto
Bmw,Rada 2,2.0,2022,80498,615000,Nafta,Automatická,110,Sauto
Subaru,Forester,2.0,2021,58345,615000,Benzín,Automatická,110,Sauto
Citroen,C4,1.2,2025,2,615000,Benzín,Automatická,96,Sauto
Subaru,Forester,2.0,2020,130100,615000,Benzín,Automatická,110,Sauto
Honda,Cr V,2.0,2020,88900,615000,Hybridní,Automatická,135,Sauto
Toyota,Corolla,1.8,2025,2,615900,Benzín,Automatická,103,Sauto
Fiat,600,1.2,2024,5,615900,Benzín,Automatická,74,Sauto
Citroen,Berlingo,1.5,2024,4,616600,Nafta,Manuální,96,Sauto
Volkswagen,Passat Variant,2.0,2021,113040,617000,Nafta,Automatická,110,Sauto
Honda,Jazz,1.5,2025,10,617000,Hybridní,Automatická,90,Sauto
Peugeot,2008,1.2,2025,0,617000,Hybridní,Automatická,100,Sauto
Mitsubishi,Eclipse Cross,2.4,2022,72470,617100,Hybridní,Automatická,138,Sauto
Ford,S Max,2.0,2019,80436,617100,Nafta,Automatická,140,Sauto
Mitsubishi,Asx,1.3,2025,1,617850,Benzín,Automatická,116,Sauto
Skoda,Superb,2.0,2021,156584,618000,Nafta,Automatická,147,Sauto
Volkswagen,Touran,2.0,2021,119722,618000,Nafta,Automatická,110,Sauto
Skoda,Kodiaq,1.5,2021,156887,618000,Benzín,Automatická,110,Sauto
Audi,A6,3.0,2021,200000,618000,Nafta,Automatická,180,Sauto
Audi,A6,2.0,2020,137252,618000,Nafta,Automatická,150,Sauto
Mercedes Benz,Tridy E,3.0,2018,146562,618000,Nafta,Automatická,190,Sauto
Citroen,C5 Aircross,1.2,2022,61857,618310,Benzín,Manuální,96,Sauto
Dacia,Jogger,1.6,2025,5,618400,Hybridní,Automatická,104,Sauto
Dacia,Duster,1.6,2025,2,618800,Hybridní,Automatická,102,Sauto
Volkswagen,T Roc,1.5,2022,19731,618900,Benzín,Automatická,110,Sauto
Opel,Combo,1.5,2024,5,618990,Nafta,Manuální,75,Sauto
Bmw,X6,3.0,2016,199000,618990,Nafta,Automatická,190,Sauto
Seat,Tarraco,1.5,2019,68000,619000,Benzín,Manuální,110,Sauto
Peugeot,308,1.5,2023,32500,619000,Nafta,Automatická,96,Sauto
Mazda,Cx 5,2.0,2020,85617,619000,Benzín,Manuální,121,Sauto
Mazda,Cx 30,2.0,2023,11911,619000,Benzín,Manuální,110,Sauto
Toyota,Rav4,2.5,2021,179664,619000,Benzín,Automatická,131,Sauto
Nissan,Townstar,1.3,2024,5,619000,Benzín,Manuální,96,Sauto
Peugeot,2008,1.2,2025,1,619000,Hybridní,Automatická,100,Sauto
Porsche,Panamera,3.6,2013,159000,619000,Benzín,Automatická,228,Sauto
Opel,Zafira,2.0,2021,159841,619000,Nafta,Manuální,106,Sauto
Seat,Ateca,2.0,2020,121363,619000,Nafta,Automatická,110,Sauto
Peugeot,2008,1.2,2025,0,619000,Benzín,Automatická,96,Sauto
Citroen,C5 Aircross,1.6,2023,36556,619000,Hybridní,Automatická,133,Sauto
Bmw,Rada 3,2.0,2021,190000,619000,Nafta,Automatická,140,Sauto
Volkswagen,Caddy,2.0,2022,95271,619000,Nafta,Automatická,90,Sauto
Opel,Insignia,2.0,2021,33780,619000,Nafta,Automatická,128,Sauto
Kia,Sportage,1.6,2025,7,619000,Benzín,Manuální,118,Sauto
Nissan,Townstar,1.3,2024,10,619000,Benzín,Manuální,96,Sauto
Seat,Tarraco,2.0,2020,75039,619000,Nafta,Manuální,110,Sauto
Ford,Kuga,2.5,2021,41000,619000,Hybridní,Automatická,140,Sauto
Mitsubishi,Eclipse Cross,2.4,2022,71399,619000,Hybridní,Automatická,138,Sauto
Audi,Q5,2.0,2018,125431,619000,Nafta,Automatická,140,Sauto
Citroen,Jumpy,2.0,2021,159841,619000,Nafta,Manuální,106,Sauto
Opel,Astra,1.2,2025,0,619531,Hybridní,Automatická,100,Sauto
Opel,Astra,1.2,2025,0,619531,Benzín,Automatická,100,Sauto
Nissan,Townstar,1.3,2024,10,619800,Benzín,Manuální,96,Sauto
Peugeot,308,1.5,2024,17048,619900,Nafta,Automatická,96,Sauto
Mini,Cooper S,2.0,2023,14800,619900,Benzín,Automatická,131,Sauto
Opel,Combo,1.5,2024,5,619900,Nafta,Manuální,75,Sauto
Peugeot,308,1.5,2024,38552,619900,Nafta,Automatická,96,Sauto
Bmw,X5,3.0,2014,193000,619900,Nafta,Automatická,190,Sauto
Toyota,Corolla,2.0,2022,72426,619900,Hybridní,Automatická,135,Sauto
Seat,Leon,1.5,2025,7,619900,Benzín,Automatická,85,Sauto
Seat,Ateca,1.5,2023,11186,619900,Benzín,Manuální,110,Sauto
Skoda,Scala,1.0,2024,10440,619900,Benzín,Automatická,85,Sauto
Peugeot,308,1.2,2024,15096,619900,Benzín,Automatická,96,Sauto
Hyundai,Tucson,1.6,2023,17717,619900,Benzín,Manuální,110,Sauto
Dacia,Bigster,1.2,2025,0,619900,Benzín,Manuální,103,Sauto
Peugeot,308,1.2,2024,18757,619900,Benzín,Automatická,96,Sauto
Peugeot,308,1.2,2024,17675,619900,Benzín,Automatická,96,Sauto
Toyota,Corolla,1.8,2024,13395,619900,Hybridní,Automatická,72,Sauto
Toyota,Corolla,1.8,2025,2,619900,Hybridní,Automatická,103,Sauto
Audi,A4,2.0,2020,89909,619900,Nafta,Automatická,120,Sauto
Hyundai,Tucson,1.6,2022,21046,619900,Nafta,Automatická,85,Sauto
Toyota,Yaris,1.5,2024,6079,619900,Hybridní,Automatická,96,Sauto
Citroen,Berlingo,1.5,2025,5,619901,Nafta,Manuální,74,Sauto
Kia,Xcee D,1.5,2024,5,619980,Benzín,Automatická,103,Sauto
Kia,Cee D,1.5,2025,5,619980,Benzín,Automatická,103,Sauto
Ford,Focus,1.0,2024,28000,619990,Benzín,Automatická,114,Sauto
Seat,Leon,2.0,2018,66236,619990,Benzín,Automatická,221,Sauto
Renault,Arkana,1.3,2023,10452,619990,Benzín,Automatická,103,Sauto
Mini,Cooper S,2.0,2022,7000,619990,Benzín,Automatická,141,Sauto
Renault,Arkana,1.3,2023,14569,619990,Benzín,Automatická,103,Sauto
Opel,Mokka,1.2,2025,0,619990,Benzín,Manuální,100,Sauto
Renault,Arkana,1.3,2023,10572,619990,Benzín,Automatická,103,Sauto
Hyundai,Santa Fe,2.2,2020,123381,619990,Nafta,Automatická,147,Sauto
Bmw,X1,2.0,2022,88000,619990,Nafta,Automatická,110,Sauto
Bmw,Rada 7,3.0,2016,204000,619990,Nafta,Automatická,195,Sauto
Hyundai,I30,2.0,2018,44057,619990,Benzín,Manuální,202,Sauto
Renault,Arkana,1.3,2023,13162,619990,Benzín,Automatická,103,Sauto
Renault,Arkana,1.3,2023,15227,619990,Benzín,Automatická,103,Sauto
Audi,Q7,3.0,2016,213000,619990,Nafta,Automatická,200,Sauto
Mazda,Cx 5,2.5,2019,99589,619999,Benzín,Automatická,143,Sauto
Bmw,X1,2.0,2019,91426,619999,Benzín,Automatická,141,Sauto
Audi,A7,3.0,2017,143030,619999,Nafta,Automatická,240,Sauto
Škoda,Kodiaq,2.0,2020,113357,620000,nafta,manual,110,Autoesa
Mini,Countryman,1.5,2020,43277,620000,Hybridní,Automatická,162,Sauto
Porsche,Cayenne,4.8,2012,150900,620000,Benzín,Automatická,294,Sauto
Jeep,Compass,1.5,2023,38420,620000,Hybridní,Automatická,96,Sauto
Mercedes Benz,Gle,3.0,2016,218000,620000,Nafta,Automatická,190,Sauto
Audi,A6,3.0,2018,166870,620000,Nafta,Automatická,210,Sauto
Peugeot,Rifter,1.5,2025,2,620000,Nafta,Manuální,74,Sauto
Honda,Cr V,2.0,2020,66780,620000,Hybridní,Automatická,135,Sauto
Mercedes Benz,Tridy A,1.3,2020,68138,620000,Benzín,Automatická,120,Sauto
Jeep,Grand Cherokee,3.0,2018,151650,620000,Nafta,Automatická,184,Sauto
Volvo,Xc60,2.0,2018,158000,620000,Benzín,Automatická,184,Sauto
Kia,Sportage,1.6,2023,6853,620000,Benzín,Manuální,110,Sauto
Hyundai,Tucson,1.6,2024,42160,620000,Benzín,Automatická,110,Sauto
Peugeot,5008,1.6,2020,41233,620000,Benzín,Automatická,129,Sauto
Bmw,Rada 3,3.0,2016,112500,620000,Nafta,Automatická,230,Sauto
Ford,S Max,2.0,2018,138000,620000,Nafta,Automatická,140,Sauto
Mercedes Benz,Tridy V,2.1,2015,195000,620000,Nafta,Manuální,120,Sauto
Volkswagen,Tiguan Allspace,2.0,2020,154908,620000,Nafta,Automatická,110,Sauto
Citroen,Berlingo,1.2,2025,5,620002,Benzín,Manuální,81,Sauto
Nissan,Juke,1.0,2025,1,620500,Benzín,Automatická,84,Sauto
Opel,Combo,1.2,2025,5,620611,Benzín,Manuální,81,Sauto
Opel,Frontera,1.2,2025,3,620990,Hybridní,Automatická,81,Sauto
Renault,Captur,1.6,2025,5,621760,Hybridní,Automatická,105,Sauto
Mitsubishi,Eclipse Cross,2.4,2022,70674,622000,Hybridní,Automatická,138,Sauto
Škoda,Octavia,1.5,2024,9216,622000,benzín,automat,110,Autoesa
Dacia,Duster,1.2,2025,5,622900,Benzín,Manuální,96,Sauto
Dacia,Duster,1.2,2025,2,622900,Benzín,Manuální,96,Sauto
Fiat,Doblo,1.2,2024,0,622900,Benzín,Manuální,81,Sauto
Citroen,C4,1.2,2025,2,623000,Hybridní,Automatická,100,Sauto
Volkswagen,Passat Variant,2.0,2019,130174,623000,Nafta,Automatická,176,Sauto
Citroen,C3 Aircross,1.2,2025,1,623365,Hybridní,Automatická,100,Sauto
Skoda,Octavia,1.4,2021,40493,624000,Hybridní,Automatická,180,Sauto
Peugeot,308,1.2,2023,6614,624000,Benzín,Automatická,96,Sauto
Opel,Combo,1.2,2025,0,624250,Benzín,Manuální,81,Sauto
Opel,Combo,1.2,2025,5,624251,Benzín,Manuální,81,Sauto
Dacia,Jogger,1.6,2025,10,624400,Hybridní,Automatická,104,Sauto
Peugeot,5008,1.6,2020,109200,624877,Benzín,Automatická,133,Sauto
Hyundai,Tucson,1.6,2021,63900,624877,Benzín,Automatická,132,Sauto
Mg,Zs,1.5,2024,5,624890,Hybridní,Automatická,145,Sauto
Toyota,Yaris Cross,1.5,2025,2,624900,Hybridní,Automatická,85,Sauto
Opel,Insignia,2.0,2022,54354,624900,Benzín,Automatická,169,Sauto
Dacia,Jogger,1.6,2025,1,624900,Hybridní,Automatická,103,Sauto
Mg,Zs,1.5,2025,6,624900,Hybridní,Automatická,145,Sauto
Peugeot,308,1.5,2024,15684,624900,Nafta,Automatická,96,Sauto
Kia,Cee D,1.5,2025,10000,624980,Benzín,Automatická,103,Sauto
Kia,Xcee D,1.5,2025,0,624980,Benzín,Automatická,103,Sauto
Kia,Cee D,1.5,2025,5,624980,Benzín,Manuální,103,Sauto
Renault,Captur,1.3,2024,10,625000,Benzín,Manuální,103,Sauto
Dacia,Bigster,1.2,2025,5,625000,Benzín,Manuální,96,Sauto
Seat,Tarraco,2.0,2020,132151,625000,Nafta,Automatická,110,Sauto
Peugeot,508,2.0,2020,78000,625000,Nafta,Automatická,120,Sauto
Seat,Tarraco,1.5,2020,86800,625000,Benzín,Manuální,110,Sauto
Renault,Captur,1.3,2024,3150,625000,Benzín,Automatická,116,Sauto
Volvo,Xc90,2.0,2015,174830,625000,Nafta,Automatická,165,Sauto
Ford,Mondeo,2.0,2020,54450,625000,Hybridní,Automatická,138,Sauto
Citroen,Berlingo,1.5,2024,3,625000,Nafta,Manuální,96,Sauto
Mini,Cooper,2.0,2020,81000,625000,Benzín,Automatická,170,Sauto
Mitsubishi,L200,2.4,2017,71580,625000,Nafta,Automatická,133,Sauto
Citroen,Berlingo,1.2,2025,5,625001,Benzín,Manuální,81,Sauto
Dacia,Duster,1.2,2025,5,625400,Benzín,Manuální,96,Sauto
Volkswagen,Golf,1.5,2025,1,625950,Benzín,Manuální,85,Sauto
Peugeot,2008,1.2,2025,0,626900,Hybridní,Automatická,107,Sauto
Nissan,Townstar,1.3,2024,2,627000,Benzín,Manuální,96,Sauto
Nissan,Townstar,1.3,2024,4,627000,Benzín,Manuální,96,Sauto
Volkswagen,Tiguan Allspace,2.0,2021,150000,627000,Nafta,Automatická,110,Sauto
Toyota,Rav4,2.5,2019,144857,628000,Hybridní,Automatická,131,Sauto
Volkswagen,Sharan,2.0,2020,134524,628000,Nafta,Automatická,130,Sauto
Volvo,S60,2.0,2020,77131,628000,Benzín,Automatická,140,Sauto
Citroen,Berlingo,1.5,2025,1,628000,Nafta,Manuální,74,Sauto
Mercedes Benz,Tridy E,2.0,2020,164925,628000,Nafta,Automatická,143,Sauto
Seat,Tarraco,2.0,2022,122000,628000,Nafta,Automatická,110,Sauto
Renault,Clio,1.6,2025,2,628400,Hybridní,Automatická,105,Sauto
Fiat,600,1.2,2025,1,628800,Hybridní,Automatická,100,Sauto
Mercedes Benz,Tridy A,1.3,2020,39720,628800,Hybridní,Automatická,118,Sauto
Dacia,Duster,1.2,2024,10,628900,Benzín,Manuální,96,Sauto
Dacia,Duster,1.2,2025,5,628900,Benzín,Manuální,96,Sauto
Mitsubishi,Asx,1.3,2024,6,628900,Benzín,Automatická,116,Sauto
Mitsubishi,Asx,1.3,2023,5,628960,Hybridní,Automatická,116,Sauto
Mitsubishi,Asx,1.3,2024,5,628960,Hybridní,Automatická,116,Sauto
Volkswagen,Transporter,2.0,2020,129141,628999,Nafta,Manuální,81,Sauto
Audi,S3,2.0,2015,94000,629000,Benzín,Automatická,228,Sauto
Ford,Focus,1.0,2022,5000,629000,Hybridní,Automatická,114,Sauto
Toyota,Rav4,2.0,2019,99634,629000,Benzín,Automatická,129,Sauto
Mazda,6,2.0,2021,97864,629000,Benzín,Manuální,121,Sauto
Audi,S5,3.0,2018,196034,629000,Benzín,Automatická,260,Sauto
Mazda,6,2.0,2021,62555,629000,Benzín,Automatická,121,Sauto
Volvo,V60,2.0,2021,144711,629000,Benzín,Automatická,145,Sauto
Subaru,Outback,3.6,2018,143000,629000,Benzín,Automatická,191,Sauto
Honda,Hr V,1.5,2024,35000,629000,Benzín,Automatická,79,Sauto
Ford,Tourneo Custom,2.0,2017,90696,629000,Nafta,Manuální,96,Sauto
Audi,Q3,1.5,2021,137747,629000,Benzín,Automatická,110,Sauto
Volvo,V60,2.0,2020,115000,629000,Nafta,Automatická,140,Sauto
Audi,Q5,2.0,2018,217990,629000,Nafta,Automatická,140,Sauto
Toyota,Yaris Cross,1.5,2025,2,629000,Hybridní,Automatická,85,Sauto
Mercedes Benz,Tridy E,2.0,2020,145400,629000,Nafta,Automatická,180,Sauto
Seat,Tarraco,1.5,2021,110170,629000,Benzín,Automatická,110,Sauto
Hyundai,Tucson,1.6,2023,14136,629000,Benzín,Automatická,132,Sauto
Subaru,Outback,3.6,2019,93000,629000,Benzín,Automatická,191,Sauto
Honda,Jazz,1.5,2025,10,629000,Hybridní,Automatická,79,Sauto
Peugeot,Traveller,2.0,2020,178312,629000,Nafta,Automatická,130,Sauto
Toyota,Corolla,2.0,2022,60120,629000,Hybridní,Automatická,135,Sauto
Seat,Alhambra,2.0,2020,113045,629079,Nafta,Automatická,110,Sauto
Nissan,Navara,2.3,2019,90000,629200,Nafta,Manuální,120,Sauto
Toyota,Sequoia,5.7,2010,240000,629200,LPG + benzín,Automatická,284,Sauto
Mercedes Benz,Gl,3.0,2013,290000,629200,Nafta,Automatická,190,Sauto
Audi,A3,1.4,2022,62768,629200,Hybridní,Automatická,150,Sauto
Mazda,3,2.0,2024,5,629400,Benzín,Manuální,90,Sauto
Audi,Q3,2.0,2020,100211,629900,Benzín,Automatická,140,Sauto
Seat,Leon,1.5,2025,7,629900,Benzín,Automatická,85,Sauto
Kia,Cee D,1.5,2025,5,629900,Benzín,Manuální,103,Sauto
Volkswagen,Golf,1.5,2023,12469,629900,Benzín,Automatická,110,Sauto
Citroen,C5 Aircross,1.6,2022,32120,629900,Hybridní,Automatická,165,Sauto
Subaru,Outback,2.5,2019,103140,629900,Benzín,Automatická,129,Sauto
Volvo,S90,2.0,2017,133478,629900,Hybridní,Automatická,235,Sauto
Hyundai,I30,1.5,2024,8304,629900,Benzín,Automatická,103,Sauto
Kia,Xcee D,1.5,2024,0,629900,Benzín,Automatická,103,Sauto
Renault,Arkana,1.3,2025,5,629900,Benzín,Manuální,103,Sauto
Hyundai,Tucson,1.6,2022,66953,629900,Nafta,Automatická,100,Sauto
Hyundai,Tucson,1.6,2023,21170,629900,Benzín,Automatická,110,Sauto
Hyundai,Tucson,1.6,2022,27070,629900,Benzín,Manuální,132,Sauto
Volvo,V90,2.0,2016,119215,629900,Benzín,Automatická,235,Sauto
Toyota,Corolla,1.8,2023,10188,629900,Hybridní,Automatická,72,Sauto
Hyundai,Tucson,1.6,2023,12613,629900,Benzín,Automatická,110,Sauto
Seat,Arona,1.5,2025,0,629900,Benzín,Automatická,110,Sauto
Toyota,Corolla,2.0,2022,60487,629900,Hybridní,Automatická,135,Sauto
Toyota,Yaris Cross,1.5,2024,10293,629900,Hybridní,Automatická,85,Sauto
Jeep,Compass,1.3,2020,55200,629901,Hybridní,Automatická,132,Sauto
Kia,Cee D Sw,1.5,2025,5,629980,Benzín,Manuální,103,Sauto
Mercedes Benz,Tridy E,2.0,2017,125000,629990,Nafta,Automatická,143,Sauto
Hyundai,Santa Fe,2.2,2020,70054,629990,Nafta,Automatická,147,Sauto
Citroen,Berlingo,1.5,2025,1,629990,Nafta,Manuální,96,Sauto
Seat,Tarraco,2.0,2020,132149,629990,Nafta,Automatická,140,Sauto
Opel,Combo,1.5,2024,5,629990,Nafta,Manuální,75,Sauto
Opel,Combo,1.5,2024,5,629990,Nafta,Manuální,96,Sauto
Peugeot,308,1.2,2024,3000,629990,Benzín,Automatická,96,Sauto
Bmw,X5,3.0,2014,177188,629999,Nafta,Automatická,230,Sauto
Bmw,X6,3.0,2015,189007,629999,Nafta,Automatická,280,Sauto
Mazda,Cx 5,2.5,2021,73600,630000,Benzín,Automatická,143,Sauto
Dacia,Bigster,1.2,2025,5,630000,LPG + benzín,Manuální,103,Sauto
Peugeot,508,1.6,2020,78000,630000,Hybridní,Automatická,165,Sauto
Kia,Sportage,1.6,2023,12118,630000,Benzín,Manuální,110,Sauto
Jeep,Renegade,1.5,2023,21200,630000,Benzín,Automatická,96,Sauto
Fiat,500,1.0,2020,53000,630000,Benzín,Manuální,15,Sauto
Toyota,Yaris Cross,1.5,2022,25212,630000,Hybridní,Automatická,85,Sauto
Peugeot,308,1.2,2024,7000,630000,Hybridní,Automatická,100,Sauto
Renault,Kangoo,1.3,2024,6000,630000,Benzín,Manuální,96,Sauto
Skoda,Superb,1.4,2021,52317,630000,Hybridní,Automatická,160,Sauto
Audi,S6,4.0,2013,154153,630000,Benzín,Automatická,309,Sauto
Nissan,Qashqai,1.3,2023,20200,630000,Benzín,Manuální,116,Sauto
Peugeot,5008,1.5,2021,70048,630000,Nafta,Manuální,96,Sauto
Bmw,X6,3.0,2015,222500,630000,Nafta,Automatická,230,Sauto
Audi,Q7,3.0,2015,204253,630000,Nafta,Automatická,200,Sauto
Bmw,Rada 5,2.0,2017,186111,630000,Benzín,Automatická,185,Sauto
Toyota,Proace,1.5,2020,69421,630000,Nafta,Manuální,88,Sauto
Porsche,Boxster,2.7,2007,119492,630000,Benzín,Manuální,180,Sauto
Subaru,Forester,2.0,2020,86529,630000,Hybridní,Automatická,110,Sauto
