Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Seat,Alhambra,1.9,2004,309022,46000,nafta,manual,85,Autoesa
Toyota,Corolla,1.6,2002,193391,46000,benzín,manual,81,Autoesa
Renault,Megane,1.6,2009,248500,47000,Benzín,Manuální,82,Sauto
Opel,Corsa,1.0,2008,72353,47000,Benzín,Manuální,44,Sauto
Opel,Astra,1.4,1999,139900,47000,Benzín,Manuální,66,Sauto
Fiat,Linea,1.4,2011,255592,47000,benzín,automat,57,Autoesa
Ford,Focus,1.6,2008,242715,47000,nafta,manual,66,Autoesa
Renault,Megane,1.6,2008,225000,47000,Benzín,Manuální,82,Sauto
Toyota,Yaris,1.0,2006,245000,47500,Benzín,Manuální,51,Sauto
Nissan,Primera,1.8,2003,127162,48000,benzín,manual,85,Autoesa
Seat,Toledo,2.0,2005,238571,48000,Nafta,Manuální,103,Sauto
Bmw,Rada 3,2.0,2002,259500,48000,Benzín,Automatická,105,Sauto
Fiat,Doblo,1.4,2008,206830,48000,Benzín,Manuální,57,Sauto
Toyota,Yaris,1.0,2008,182000,48000,Benzín,Manuální,51,Sauto
Seat,Ibiza,1.2,2005,141160,49000,benzín,manual,47,Autoesa
Mitsubishi,Colt,1.1,2007,192500,49000,Benzín,Manuální,55,Sauto
Toyota,Corolla,1.4,2005,176515,49000,Benzín,Manuální,71,Sauto
Fiat,Croma,1.9,2009,185400,49000,Nafta,Manuální,110,Sauto
Nissan,Qashqai,1.5,2007,214000,49000,Nafta,Manuální,78,Sauto
Peugeot,207,1.6,2007,174000,49000,Nafta,Manuální,80,Sauto
Dacia,Sandero,1.1,2009,157000,49000,Benzín,Manuální,55,Sauto
Fiat,Punto,1.4,2006,158000,49000,Benzín,Manuální,57,Sauto
Seat,Cordoba,1.9,2004,202000,49000,Nafta,Manuální,47,Sauto
Hyundai,Atos,1.1,2006,93840,49000,benzín,manual,46,Autoesa
Kia,Ceed,1.4,2009,195515,49000,benzín,manual,80,Autoesa
Citroën,C5,2.0,2005,208080,49000,nafta,manual,100,Autoesa
Kia,Cee D,1.4,2009,195515,49000,Benzín,Manuální,80,Sauto
Renault,Modus,1.1,2009,239000,49000,Benzín,Manuální,55,Sauto
Škoda,Fabia,1.2,2007,165920,49000,benzín,manual,44,Autoesa
Mercedes Benz,Tridy E,2.1,2004,475117,49000,Nafta,Manuální,110,Sauto
Mazda,323,1.8,2000,117693,49000,benzín,manual,84,Autoesa
Honda,Hr V,1.6,2001,294461,49000,Benzín,Manuální,77,Sauto
Peugeot,307,1.4,2006,165574,49000,benzín,manual,65,Autoesa
Toyota,Yaris,1.3,2009,243888,49000,Benzín,Manuální,74,Sauto
Citroen,C4 Picasso,1.7,2008,245000,49500,Benzín,Manuální,92,Sauto
Fiat,Grande Punto,1.4,2008,160000,49800,Benzín,Manuální,55,Sauto
Toyota,Corolla,1.4,2006,234700,49877,Nafta,Manuální,66,Sauto
Fiat,Grande Punto,1.2,2009,144750,49900,Benzín,Manuální,48,Sauto
Volvo,V70,2.4,2005,422300,49900,CNG + benzín,Manuální,103,Sauto
Nissan,Almera,1.5,2004,108567,49900,Benzín,Manuální,72,Sauto
Peugeot,3008,1.6,2012,293677,49900,Nafta,Manuální,82,Sauto
Nissan,Micra,1.0,2005,83288,49900,Benzín,Manuální,48,Sauto
Mitsubishi,Space Star,1.3,2004,105800,49900,Benzín,Manuální,60,Sauto
