Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Renault,Megane,1.6,225000,47000,Benzin,Manualni,82,17
Toyota,Yaris,1.0,245000,47500,Benzin,Manualni,51,19
Nissan,Primera,1.8,127162,48000,Benzin,Manualni,85,22
Seat,Toledo,2.0,238571,48000,Nafta,Manualni,103,20
BMW,Rada 3,2.0,259500,48000,Benzin,Automaticka,105,23
Fiat,Doblo,1.4,206830,48000,Benzin,Manualni,57,17
Toyota,Yaris,1.0,182000,48000,Benzin,Manualni,51,17
Seat,Ibiza,1.2,141160,49000,Benzin,Manualni,47,20
Mitsubishi,Colt,1.1,192500,49000,Benzin,Manualni,55,18
Toyota,Corolla,1.4,176515,49000,Benzin,Manualni,71,20
Fiat,Croma,1.9,185400,49000,Nafta,Manualni,110,16
Nissan,Qashqai,1.5,214000,49000,Nafta,Manualni,78,18
Peugeot,207,1.6,174000,49000,Nafta,Manualni,80,18
Dacia,Sandero,1.1,157000,49000,Benzin,Manualni,55,16
Fiat,Punto,1.4,158000,49000,Benzin,Manualni,57,19
Seat,Cordoba,1.9,202000,49000,Nafta,Manualni,47,21
Hyundai,Atos,1.1,93840,49000,Benzin,Manualni,46,19
Kia,Ceed,1.4,195515,49000,Benzin,Manualni,80,16
Citroen,C5,2.0,208080,49000,Nafta,Manualni,100,20
Kia,Cee D,1.4,195515,49000,Benzin,Manualni,80,16
Renault,Modus,1.1,239000,49000,Benzin,Manualni,55,16
Skoda,Fabia,1.2,165920,49000,Benzin,Manualni,44,18
MercedesBenz,Tridy E,2.1,475117,49000,Nafta,Manualni,110,21
Mazda,323,1.8,117693,49000,Benzin,Manualni,84,25
Honda,Hr V,1.6,294461,49000,Benzin,Manualni,77,24
Peugeot,307,1.4,165574,49000,Benzin,Manualni,65,19
Toyota,Yaris,1.3,243888,49000,Benzin,Manualni,74,16
Citroen,C4 Picasso,1.7,245000,49500,Benzin,Manualni,92,17
Fiat,Grande Punto,1.4,160000,49800,Benzin,Manualni,55,17
Toyota,Corolla,1.4,234700,49877,Nafta,Manualni,66,19
Fiat,Grande Punto,1.2,144750,49900,Benzin,Manualni,48,16
Volvo,V70,2.4,422300,49900,Benzin,Manualni,103,20
Nissan,Almera,1.5,108567,49900,Benzin,Manualni,72,21
Peugeot,3008,1.6,293677,49900,Nafta,Manualni,82,13
Nissan,Micra,1.0,83288,49900,Benzin,Manualni,48,20
