Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Mg,Zs,1.5,6,465900,Benzin,Manualni,78,1
Volkswagen,Golf,2.0,144998,466000,Nafta,Automaticka,110,4
Skoda,Octavia,2.0,160911,467000,Nafta,Automaticka,135,6
Audi,A4,2.0,224125,467900,Nafta,Automaticka,120,5
Mazda,3,2.0,36075,467999,Benzin,Manualni,132,5
Volvo,V60,2.0,119141,468000,Nafta,Manualni,140,6
Mazda,3,2.0,40369,468000,Benzin,Automaticka,90,6
Seat,Alhambra,2.0,132150,468000,Nafta,Automaticka,110,7
Volvo,Xc40,2.0,159549,468000,Nafta,Automaticka,110,7
Ford,Galaxy,2.0,165745,468000,Nafta,Automaticka,110,6
Volkswagen,Tiguan,2.0,164558,468000,Nafta,Manualni,110,5
Toyota,Corolla,2.0,136367,468000,Hybridni,Automaticka,112,5
Seat,Alhambra,2.0,166935,468000,Nafta,Manualni,110,5
Skoda,Octavia,2.0,141259,468000,Nafta,Automaticka,110,5
Seat,Ateca,1.4,101900,468000,Benzin,Manualni,110,7
Mitsubishi,Asx,1.3,11203,468000,Benzin,Manualni,103,2
Mitsubishi,Outlander,2.0,93200,468000,Benzin,Automaticka,110,6
Mg,Ehs,1.5,78848,468000,Hybridni,Automaticka,190,3
Seat,Leon,1.5,42202,468000,Benzin,Manualni,96,3
Volkswagen,Passat,2.0,144062,468000,Nafta,Automaticka,110,5
Volkswagen,Passat,2.0,178740,468000,Nafta,Automaticka,147,4
Mitsubishi,L200,2.3,201000,468900,Nafta,Manualni,110,6
Mg,Hs,1.5,24941,468900,Benzin,Manualni,119,2
Audi,A4,2.0,219605,468900,Nafta,Automaticka,100,4
Porsche,Cayenne,3.0,189000,469000,Nafta,Automaticka,176,14
Volvo,S90,2.0,138736,469000,Benzin,Automaticka,187,8
Mg,Hs,1.5,39800,469000,Benzin,Manualni,119,2
Porsche,928,4.5,74263,469000,Benzin,Automaticka,170,43
Kia,Xcee D,1.5,41000,469000,Benzin,Manualni,117,5
Volkswagen,Passat,2.0,150000,469000,Nafta,Automaticka,110,4
Mg,Hs,1.5,33240,469000,Benzin,Manualni,119,2
Toyota,Corolla,1.8,55117,469000,Hybridni,Automaticka,90,3
Skoda,Octavia,2.0,139000,469000,Benzin,Automaticka,140,6
Mazda,2 Hybrid,1.5,31700,469000,Hybridni,Automaticka,85,2
Toyota,Prius,1.8,130000,469000,Hybridni,Automaticka,72,4
Mazda,6,2.2,94993,469000,Nafta,Manualni,110,6
Subaru,Xv,2.0,123691,469000,Benzin,Automaticka,115,7
Seat,Tarraco,1.5,166004,469000,Benzin,Manualni,110,5
BMW,X3,3.0,236000,469000,Nafta,Automaticka,190,10
Hyundai,I30,1.5,30100,469877,Benzin,Manualni,117,3
Toyota,Hilux,2.5,125600,469900,Nafta,Manualni,106,14
Mg,Zs,1.0,7000,469900,Benzin,Automaticka,82,1
Mg,Zs,1.5,10,469900,Benzin,Manualni,78,1
BMW,X5,2.0,118100,469900,Nafta,Automaticka,160,11
Mg,Zs,1.5,1,469900,Benzin,Manualni,78,1
Mg,Zs,1.5,5,469900,Benzin,Manualni,78,1
Toyota,C Hr,1.8,32000,469900,Hybridni,Automaticka,72,6
Mg,Mg3,1.5,10,469900,Benzin,Manualni,85,0
Honda,Cr V,2.0,115270,469900,Benzin,Automaticka,114,7
Mg,Ostatni,1.5,10,469900,Hybridni,Automaticka,143,1
Mg,Zs,1.5,5,469900,Benzin,Manualni,78,0
Mg,Mg3,1.5,1000,469900,Benzin,Manualni,85,0
Mg,Zs,1.5,2,469900,Benzin,Manualni,78,1
Mg,Zs,1.5,7,469900,Benzin,Manualni,78,1
Mg,Zs,1.0,6,469900,Benzin,Manualni,82,1
Porsche,Cayenne,4.8,194000,469990,Benzin,Automaticka,368,13
Hyundai,Tucson,1.6,70117,469990,Benzin,Manualni,130,5
Honda,Cr V,1.5,135469,469990,Benzin,Manualni,127,6
Seat,Ateca,1.4,87000,469999,Benzin,Automaticka,110,8
Peugeot,Rifter,1.2,67018,469999,Benzin,Manualni,81,6
Audi,A6,3.0,162313,469999,Nafta,Automaticka,200,8
Opel,Insignia,2.0,68506,469999,Nafta,Automaticka,154,6
MercedesBenz,Vito,2.0,49847,469999,Benzin,Manualni,95,24
Mazda,Cx 30,2.0,96000,469999,Benzin,Manualni,132,5
Toyota,Corolla,1.8,89423,469999,Hybridni,Automaticka,72,5
BMW,X1,1.5,116017,469999,Benzin,Automaticka,103,5
Toyota,Proace Verso,2.0,193477,469999,Nafta,Manualni,110,5
Jeep,Wrangler,2.8,227480,470000,Nafta,Automaticka,130,15
Volvo,Xc40,2.0,105500,470000,Nafta,Manualni,110,6
Nissan,Navara,2.3,163000,470000,Nafta,Manualni,140,8
Audi,A4,3.0,189896,470000,Nafta,Automaticka,200,8
Dacia,Duster,1.3,43528,470000,Benzin,Manualni,96,3
Seat,Leon,1.5,36160,470000,Benzin,Manualni,96,4
Peugeot,Rifter,1.5,98676,470000,Nafta,Manualni,96,5
Skoda,Octavia,1.4,167504,470000,Hybridni,Automaticka,150,4
Toyota,Yaris Cross,1.5,53362,470000,Benzin,Automaticka,92,3
Mitsubishi,Pajero,3.2,77923,470000,Nafta,Automaticka,147,14
BMW,Rada 3,2.0,120074,470000,Nafta,Automaticka,140,7
Mitsubishi,Pajero,3.2,131505,470000,Nafta,Automaticka,147,11
Volkswagen,Passat Variant,2.0,150000,471000,Nafta,Automaticka,110,4
Dacia,Jogger,1.0,10,471500,Benzin,Manualni,81,0
Skoda,Superb,2.0,131251,473000,Benzin,Automaticka,200,6
Volkswagen,Sharan,2.0,152676,474000,Nafta,Manualni,110,6
Dacia,Duster,1.3,45074,474000,Benzin,Automaticka,110,2
BMW,Rada 2,2.0,150305,474000,Nafta,Automaticka,140,5
Mg,Ehs,1.5,48981,474000,Hybridni,Automaticka,190,3
Mg,Zs,1.0,1043,474900,Benzin,Automaticka,82,1
Mg,Zs,1.5,10,474900,Benzin,Manualni,78,1
Subaru,Outback,2.5,181393,474900,Benzin,Automaticka,129,7
MercedesBenz,Ml,3.0,283600,475000,Nafta,Automaticka,190,11
Renault,Captur,1.3,31880,475000,Benzin,Automaticka,96,5
Mg,Zs,1.0,13870,475000,Benzin,Automaticka,82,1
MercedesBenz,Trida,2.2,119755,475000,Nafta,Automaticka,125,9
Opel,Insignia,2.0,80821,475000,Nafta,Manualni,128,4
Mg,Zs,1.0,11779,475000,Benzin,Automaticka,82,1
Mg,Zs,1.0,14730,475000,Benzin,Automaticka,82,1
Mg,Zs,1.0,17367,475000,Benzin,Automaticka,82,1
Mg,Zs,1.0,14501,475000,Benzin,Automaticka,82,1
BMW,Rada 3,2.0,140000,475000,Nafta,Automaticka,100,6
Mg,Zs,1.0,15216,475000,Benzin,Automaticka,82,1
Mg,Zs,1.5,6,475900,Benzin,Manualni,78,1
Dacia,Jogger,1.0,5000,475900,Benzin,Manualni,74,1
Skoda,Superb,2.0,162174,476000,Nafta,Automaticka,110,4
Mg,Ehs,1.5,48551,476000,Hybridni,Automaticka,190,3
Volkswagen,Passat,2.0,179969,476000,Nafta,Automaticka,110,4
Volkswagen,Passat,2.0,150000,476000,Nafta,Automaticka,110,4
Volkswagen,T Roc,2.0,153836,478000,Nafta,Automaticka,110,5
Toyota,Aygo,1.0,0,478000,Benzin,Automaticka,53,1
Volkswagen,Touran,2.0,151658,478000,Nafta,Manualni,110,5
Audi,A4,2.0,145508,478000,Nafta,Automaticka,140,6
Volkswagen,Touran,1.5,143789,478000,Benzin,Automaticka,110,4
Volkswagen,Passat Variant,2.0,144584,478000,Nafta,Automaticka,110,5
Volkswagen,Touran,2.0,130222,478000,Nafta,Automaticka,110,5
Volkswagen,Passat Variant,2.0,148105,478000,Nafta,Automaticka,110,4
Volkswagen,Passat Variant,2.0,144656,478000,Nafta,Automaticka,110,4
Jeep,Wrangler,2.8,293689,478000,Nafta,Automaticka,147,11
Skoda,Karoq,1.6,101063,478000,Nafta,Manualni,85,5
Skoda,Superb,2.0,154973,478000,Nafta,Automaticka,110,4
Volkswagen,Passat,2.0,152496,478000,Nafta,Automaticka,110,3
Ford,Kuga,2.5,108850,478000,Hybridni,Automaticka,165,4
Jeep,Cherokee,3.2,56748,479000,Benzin,Automaticka,200,10
Opel,Grandland X,1.6,46000,479000,Hybridni,Automaticka,133,4
Mazda,Cx 5,2.0,154721,479000,Benzin,Automaticka,121,7
Seat,Ibiza,1.0,12345,479000,Benzin,Automaticka,81,2
BMW,Rada 5,2.0,152000,479000,Nafta,Automaticka,120,8
Mini,Cooper S,2.0,58221,479000,Benzin,Automaticka,141,9
Volvo,Xc90,2.0,131750,479000,Nafta,Automaticka,165,10
MercedesBenz,Tridy E,2.1,99575,479000,Nafta,Manualni,125,10
Volkswagen,Passat Variant,2.0,155194,479000,Nafta,Automaticka,110,4
MercedesBenz,GLA,2.2,56123,479000,Nafta,Automaticka,130,9
Hyundai,I30,1.5,33500,479000,Benzin,Manualni,118,2
Hyundai,I30,1.5,10227,479000,Benzin,Manualni,81,2
Toyota,Corolla,1.8,78336,479900,Hybridni,Automaticka,90,6
Mazda,Cx 5,2.5,156200,479900,Benzin,Automaticka,143,8
Mg,Zs,1.5,10,479900,Benzin,Manualni,78,1
Volvo,V60,2.0,129254,479900,Nafta,Automaticka,110,5
Toyota,Corolla,1.5,5,479900,Benzin,Manualni,92,1
Toyota,Corolla,1.5,2,479900,Benzin,Manualni,92,1
Citroen,C4,1.2,5,479900,Benzin,Manualni,96,1
Mg,Mg3,1.5,0,479900,Benzin,Manualni,85,1
Toyota,Corolla,1.5,10,479900,Benzin,Manualni,92,1
Mg,Mg3,1.5,9000,479900,Hybridni,Automaticka,143,1
Jeep,Renegade,1.0,2200,479900,Benzin,Manualni,88,2
Honda,S2000,2.0,198000,479900,Benzin,Manualni,177,24
Mg,Zs,1.5,10,479900,Benzin,Manualni,78,0
Mg,Mg3,1.5,0,479900,Hybridni,Automaticka,143,0
Kia,Stonic,1.0,5,479900,Benzin,Automaticka,74,1
Mazda,Cx 5,2.5,117000,479901,Benzin,Automaticka,143,6
Hyundai,I30,1.5,5,479990,Benzin,Manualni,71,0
Hyundai,I30,1.5,3,479990,Benzin,Manualni,70,0
Nissan,Qashqai,1.3,86600,479999,Benzin,Automaticka,116,5
Opel,Grandland X,1.2,44240,479999,Benzin,Automaticka,96,4
BMW,Rada 4,3.0,260901,479999,Benzin,Automaticka,225,10
Toyota,C Hr,1.8,68138,479999,Benzin,Automaticka,72,5
BMW,Rada 1,1.5,32813,479999,Benzin,Automaticka,103,5
BMW,Rada 3,2.0,132149,479999,Nafta,Automaticka,140,7
Mitsubishi,Outlander,2.0,74188,479999,Benzin,Automaticka,110,6
Honda,Accord,3.5,98000,480000,Benzin,Automaticka,204,9
Opel,Insignia,2.0,105335,480000,Nafta,Automaticka,128,3
MercedesBenz,Tridy C,2.1,147470,480000,Nafta,Automaticka,125,10
Mg,Zs,1.0,8371,480000,Benzin,Automaticka,82,2
Audi,A6,3.0,192044,480000,Nafta,Automaticka,200,9
Subaru,Xv,1.6,41317,480000,Benzin,Automaticka,84,4
Citroen,C4,1.2,18241,480000,Benzin,Automaticka,96,4
Mini,Cooper S,2.0,12354,480000,Benzin,Manualni,131,4
Audi,A6,3.0,192044,480000,Nafta,Automaticka,200,9
Kia,Cee D,1.5,54401,480000,Benzin,Automaticka,118,3
Mg,Hs,1.5,22481,480000,Benzin,Manualni,119,2
Fiat,500X,1.5,31765,480000,Benzin,Automaticka,96,2
Skoda,Scala,1.5,41539,480000,Benzin,Manualni,110,2
Jeep,Compass,2.0,142627,480000,Nafta,Automaticka,125,4
Toyota,ProAce,1.2,106099,480400,Benzin,Manualni,96,4
Mg,Zs,1.5,0,480949,Benzin,Manualni,78,1
Mg,Ehs,1.5,60528,481000,Hybridni,Automaticka,190,3
Volkswagen,Touran,2.0,169030,482000,Nafta,Automaticka,110,4
Nissan,Navara,2.3,204000,482999,Nafta,Manualni,140,7
Volkswagen,Passat Variant,2.0,147018,483000,Nafta,Automaticka,110,4
Subaru,Xv,2.0,212906,484000,Hybridni,Automaticka,110,4
MercedesBenz,Tridy E,2.0,256924,484000,Nafta,Automaticka,143,6
Mg,Mg3,1.5,6,484900,Hybridni,Automaticka,143,0
Mg,Zs,1.5,5,484900,Benzin,Manualni,78,0
Mg,Zs,1.5,2,484900,Benzin,Manualni,78,1
Mg,Mg3,1.5,0,484900,Hybridni,Automaticka,143,0
Mg,Zs,1.5,2,484900,Benzin,Manualni,78,0
Mg,Mg3,1.5,6,484900,Benzin,Manualni,85,0
Mg,Zs,1.0,0,484900,Benzin,Manualni,82,1
Mg,Mg3,1.5,2,484900,Benzin,Manualni,85,0
Citroen,C3,1.2,25,484900,Benzin,Manualni,73,0
Mg,Zs,1.5,0,484900,Benzin,Manualni,78,1
Mg,Zs,1.5,1,484900,Benzin,Manualni,78,1
Mg,Mg3,1.5,0,484900,Benzin,Manualni,85,0
Citroen,Berlingo,1.5,49964,484999,Nafta,Automaticka,96,6
Volkswagen,Passat,2.0,113111,485000,Nafta,Automaticka,176,7
Seat,Alhambra,2.0,224507,485000,Benzin,Automaticka,162,7
Subaru,Xv,1.6,48000,485000,Benzin,Automaticka,84,6
Volvo,V90,2.0,128620,485000,Nafta,Automaticka,110,8
Volkswagen,Passat,2.0,162054,485000,Nafta,Automaticka,147,4
Opel,Insignia,2.0,105790,485000,Nafta,Manualni,128,4
Subaru,Impreza,2.5,119000,485000,Benzin,Manualni,221,16
Mini,Cooper,2.0,158000,485000,Benzin,Automaticka,170,8
Mitsubishi,Outlander,2.0,69049,485000,Benzin,Manualni,110,5
Seat,Leon,1.5,43770,485000,Benzin,Manualni,110,4
Skoda,Octavia,1.0,10835,485000,Benzin,Manualni,81,3
Mg,Zs,1.5,5,485890,Benzin,Manualni,78,1
Mg,Zs,1.5,5,485900,Benzin,Manualni,78,1
Mg,Zs,1.5,10,485900,Benzin,Manualni,78,1
Mg,Mg3,1.5,5,485900,Benzin,Manualni,85,0
Skoda,Superb,2.0,176533,486000,Nafta,Automaticka,110,4
Peugeot,5008,1.2,91696,486000,Benzin,Automaticka,96,5
Toyota,C Hr,1.8,50500,486000,Hybridni,Automaticka,90,5
Volkswagen,Passat Variant,2.0,148858,487000,Nafta,Automaticka,110,4
Volkswagen,Passat Variant,2.0,189477,487000,Nafta,Manualni,110,4
BMW,X2,2.0,118253,488000,Nafta,Automaticka,140,7
BMW,Rada 3,2.0,164655,488000,Nafta,Automaticka,140,5
Skoda,Superb,2.0,159244,488000,Nafta,Automaticka,110,4
Skoda,Superb,2.0,161466,488000,Nafta,Automaticka,110,5
Skoda,Karoq,1.5,147290,488000,Benzin,Manualni,110,6
Volkswagen,Passat Variant,2.0,160598,488000,Nafta,Automaticka,110,6
MercedesBenz,Tridy E,2.0,146331,488000,Nafta,Automaticka,143,8
Skoda,Karoq,2.0,116044,488000,Nafta,Manualni,85,4
Mazda,Cx 5,2.5,104300,488000,Benzin,Automaticka,143,6
Peugeot,5008,1.5,124604,488000,Nafta,Manualni,96,4
Dacia,Jogger,1.0,9,488622,Benzin,Manualni,81,1
BMW,X3,3.0,101890,488999,Nafta,Automaticka,190,9
Jeep,Cherokee,3.2,83000,489000,Benzin,Automaticka,200,11
Mg,Hs,1.5,33990,489000,Benzin,Automaticka,119,2
Mg,Zs,1.0,9024,489000,Benzin,Automaticka,82,1
Mitsubishi,Asx,2.0,86223,489000,Benzin,Automaticka,110,5
BMW,Rada 5,4.4,127000,489000,Benzin,Automaticka,330,11
Hyundai,Ioniq,1.6,25513,489000,Hybridni,Automaticka,104,3
Toyota,Corolla,1.8,60546,489000,Benzin,Automaticka,72,4
Mini,Cooper,2.0,65020,489000,Benzin,Automaticka,170,9
Volkswagen,Passat,1.4,150000,489000,Hybridni,Automaticka,160,5
Mg,Zs,1.0,163,489000,Benzin,Automaticka,82,2
Subaru,Forester,2.0,126800,489000,Benzin,Automaticka,177,8
Mg,Zs,1.0,157,489000,Benzin,Automaticka,82,2
Toyota,Rav4,2.5,117738,489000,Benzin,Automaticka,114,8
Opel,Mokka,1.2,29290,489000,Benzin,Automaticka,96,3
Jeep,Grand Cherokee,3.0,94500,489000,Nafta,Automaticka,184,10
Toyota,Yaris,1.5,12787,489000,Hybridni,Automaticka,68,1
Toyota,Corolla,1.8,50600,489900,Hybridni,Automaticka,72,6
Mg,Zs,1.0,5,489900,Benzin,Automaticka,82,1
Citroen,C4,1.2,5,489900,Benzin,Manualni,96,1
Fiat,Talento,1.6,116000,489900,Nafta,Manualni,107,7
Kia,Cee D,1.5,8000,489980,Benzin,Manualni,103,1
MercedesBenz,Sl,5.5,147000,489990,Benzin,Automaticka,285,17
Dacia,Duster,1.3,22911,489990,Benzin,Automaticka,110,3
Kia,Xcee D,1.5,43583,489999,Benzin,Automaticka,117,3
Skoda,Superb,1.4,110080,489999,Hybridni,Automaticka,160,5
Peugeot,5008,1.5,130680,489999,Nafta,Manualni,96,4
Toyota,C Hr,1.8,93261,490000,Hybridni,Automaticka,90,4
Peugeot,5008,1.5,66004,490000,Nafta,Manualni,96,5
Skoda,Octavia,2.0,51911,490000,Nafta,Manualni,85,2
BMW,Rada 3,2.0,174000,490000,Nafta,Manualni,110,6
Toyota,Land Cruiser,3.0,248000,490000,Nafta,Manualni,140,13
BMW,Rada 3,3.0,176000,490000,Benzin,Automaticka,285,13
MercedesBenz,Sl,3.8,85889,490000,Benzin,Automaticka,160,41
BMW,X3,2.0,104249,490000,Benzin,Automaticka,135,10
Volvo,Xc40,2.0,114000,490000,Benzin,Automaticka,140,6
Honda,Cr V,1.5,79820,490000,Benzin,Manualni,127,6
Jeep,Compass,1.3,34042,490000,Benzin,Automaticka,110,4
Seat,Ateca,1.5,64177,490000,Benzin,Manualni,110,5
Jeep,Compass,1.4,57378,490000,Benzin,Automaticka,125,6
Mazda,6,2.5,133215,490000,Benzin,Automaticka,141,8
Hyundai,Santa,2.2,96987,490000,Nafta,Automaticka,147,8
MercedesBenz,Sl,5.0,106000,490000,Benzin,Automaticka,225,23
Skoda,Karoq,2.0,123161,491000,Nafta,Manualni,110,7
Volkswagen,Passat,2.0,115679,491000,Nafta,Automaticka,110,5
Volkswagen,Passat,2.0,150000,491000,Nafta,Automaticka,110,4
Volkswagen,Passat Variant,2.0,186158,491000,Nafta,Automaticka,147,3
Skoda,Karoq,1.5,169371,492000,Benzin,Automaticka,110,4
Audi,A4 Avant,2.0,150000,492000,Nafta,Automaticka,140,5
Skoda,Octavia,2.0,150000,493000,Nafta,Automaticka,110,5
Volkswagen,Golf,1.5,34449,493000,Benzin,Manualni,96,5
Volkswagen,Passat Variant,2.0,131516,493000,Nafta,Automaticka,110,5
Hyundai,I20,1.2,10,493890,Benzin,Manualni,58,0
Toyota,Yaris,1.5,2,494900,Benzin,Automaticka,85,0
Mg,Zs,1.0,6,494900,Benzin,Manualni,82,1
Mg,Hs,1.5,15990,494900,Benzin,Automaticka,119,2
Mg,Zs,1.0,3,494900,Benzin,Manualni,82,1
Mazda,Cx 5,2.0,98077,494999,Benzin,Manualni,121,6
Toyota,Proace Verso,2.0,160651,495000,Nafta,Manualni,110,6
Skoda,Kodiaq,2.0,117270,495000,Nafta,Automaticka,110,8
Porsche,Cayenne,3.0,247000,495000,Nafta,Automaticka,180,13
Mazda,6,2.2,109748,495000,Nafta,Automaticka,135,6
Subaru,Outback,2.5,245200,495000,Benzin,Automaticka,129,7
Jeep,Wrangler,2.8,36275,495000,Nafta,Automaticka,130,17
Volvo,Xc60,2.0,176127,495000,Nafta,Manualni,140,7
Dacia,Jogger,1.0,5,495400,Benzin,Manualni,81,0
Mg,Zs,1.5,0,495900,Benzin,Manualni,85,0
Audi,A4,2.0,140975,496000,Nafta,Automaticka,110,5
Volkswagen,Passat Variant,2.0,158600,496000,Nafta,Automaticka,147,4
Volkswagen,Passat Variant,2.0,149832,496000,Nafta,Automaticka,110,4
Skoda,Superb,2.0,166453,496000,Nafta,Automaticka,140,6
Toyota,Corolla,2.0,73260,496100,Benzin,Automaticka,179,6
Kia,Cee D,1.5,1,496980,Benzin,Manualni,103,0
Volkswagen,Passat Variant,1.4,156511,497000,Hybridni,Automaticka,160,5
Volkswagen,Passat Variant,2.0,107267,497000,Nafta,Automaticka,110,4
Kia,Cee D,1.5,1,497000,Benzin,Manualni,103,1
Honda,Jazz,1.5,16325,498000,Hybridni,Automaticka,72,2
Skoda,Karoq,1.5,155320,498000,Benzin,Manualni,110,5
Skoda,Superb,2.0,141317,498000,Nafta,Automaticka,110,4
Mini,Cooper,1.5,89100,498000,Benzin,Automaticka,100,5
Skoda,Superb,2.0,159617,498000,Nafta,Automaticka,110,4
Volkswagen,Touran,2.0,150000,498000,Nafta,Automaticka,110,6
Volkswagen,Passat,2.0,103446,498000,Nafta,Automaticka,110,5
Volkswagen,Passat,2.0,143600,498000,Nafta,Automaticka,140,5
Hyundai,Tucson,1.6,42263,498000,Nafta,Automaticka,100,5
Skoda,Octavia,2.0,150000,498000,Nafta,Manualni,110,4
Audi,A4 Avant,2.0,159467,498000,Nafta,Automaticka,120,4
Seat,Ateca,2.0,149232,498000,Nafta,Automaticka,110,6
Skoda,Superb,2.0,122562,498000,Nafta,Automaticka,140,5
Skoda,Superb,2.0,149974,498000,Nafta,Automaticka,110,4
Volkswagen,Touran,2.0,153404,498000,Nafta,Automaticka,110,4
Audi,A4,2.0,109467,498000,Nafta,Automaticka,140,6
Seat,Ateca,2.0,156843,498000,Nafta,Automaticka,110,5
Hyundai,Tucson,1.6,42263,498000,Nafta,Automaticka,100,5
Volkswagen,Passat,2.0,133902,498000,Nafta,Automaticka,110,4
Citroen,C5 Aircross,1.5,93692,498000,Nafta,Manualni,96,5
Skoda,Karoq,2.0,184045,498000,Nafta,Automaticka,140,6
Skoda,Karoq,2.0,119836,498000,Nafta,Automaticka,85,4
Volkswagen,Passat,2.0,130354,498000,Nafta,Manualni,110,5
Skoda,Superb,2.0,165710,498000,Nafta,Automaticka,140,5
Volkswagen,Passat Variant,2.0,169711,498000,Nafta,Automaticka,140,5
Subaru,Xv,1.6,119200,498990,Benzin,Automaticka,84,4
Skoda,Karoq,1.5,150000,499000,Benzin,Automaticka,110,4
Seat,Leon,2.0,91650,499000,Benzin,Manualni,221,7
Peugeot,Traveller,2.0,194169,499000,Nafta,Manualni,110,6
Ford,Tourneo Custom,2.0,129955,499000,Nafta,Manualni,125,9
Toyota,Corolla,1.8,57008,499000,Hybridni,Automaticka,72,3
Toyota,Corolla,1.5,523,499000,Benzin,Automaticka,92,1
MercedesBenz,Tridy S,4.7,178285,499000,Benzin,Automaticka,320,14
BMW,X1,2.0,156115,499000,Nafta,Automaticka,140,7
Skoda,Kodiaq,2.0,227000,499000,Nafta,Automaticka,110,6
Kia,Sportage,1.6,48500,499000,Nafta,Automaticka,100,4
Mg,Zs,1.0,5,499000,Benzin,Automaticka,82,2
Mg,Hs,1.5,10847,499000,Benzin,Manualni,119,2
Jeep,Grand Cherokee,3.0,172000,499000,Nafta,Automaticka,184,9
Mini,Clubman,1.5,58419,499000,Benzin,Manualni,100,3
Jeep,Wrangler,2.8,130000,499000,Nafta,Automaticka,130,17
Seat,Ateca,1.5,46352,499000,Benzin,Manualni,110,6
Toyota,Hilux,3.0,161227,499000,Nafta,Automaticka,126,14
Hyundai,Tucson,1.6,144328,499000,Nafta,Automaticka,100,4
Jeep,Grand Cherokee,3.0,189000,499000,Nafta,Automaticka,184,8
Mazda,6,2.0,125565,499000,Benzin,Manualni,121,6
Toyota,Proace Verso,2.0,180276,499000,Nafta,Manualni,106,3
Volkswagen,Multivan,2.0,249999,499000,Benzin,Automaticka,150,11
Volvo,Xc60,2.0,162446,499000,Nafta,Automaticka,140,9
Hyundai,Tucson,1.6,108839,499000,Benzin,Automaticka,110,3
Opel,Combo,1.5,50000,499000,Nafta,Manualni,96,5
Ford,Galaxy,2.0,140191,499000,Nafta,Manualni,110,7
Toyota,Yaris,1.5,5,499000,Hybridni,Automaticka,85,0
Jeep,Cherokee,3.2,109000,499000,Benzin,Automaticka,200,10
Hyundai,I30,1.5,9575,499000,Benzin,Manualni,117,2
MercedesBenz,Gla,2.1,149980,499000,Nafta,Automaticka,130,8
Skoda,Karoq,2.0,111846,499000,Nafta,Automaticka,110,7
Seat,Tarraco,2.0,125100,499000,Nafta,Manualni,110,6
Volkswagen,Passat Variant,1.4,109728,499000,Hybridni,Automaticka,160,4
BMW,Rada 2,2.0,156000,499000,Nafta,Automaticka,140,5
Mazda,Cx 30,2.0,39600,499000,Benzin,Manualni,132,5
Volvo,V90,2.0,227739,499000,Nafta,Automaticka,140,8
Audi,A6,3.0,240000,499000,Nafta,Automaticka,200,9
Jeep,Grand Cherokee,5.7,205000,499000,Benzin,Automaticka,268,11
Fiat,500,1.2,76931,499000,Benzin,Manualni,14,9
Hyundai,I30,1.5,9575,499000,Benzin,Manualni,117,2
Toyota,Corolla,2.0,112000,499000,Hybridni,Automaticka,112,5
Mitsubishi,Outlander,2.4,86000,499000,Hybridni,Automaticka,99,6
Ford,S Max,2.0,121639,499000,Nafta,Automaticka,140,5
Porsche,Cayenne,3.0,205707,499000,Hybridni,Automaticka,245,15
Volvo,Xc90,2.4,108144,499000,Nafta,Automaticka,147,11
Mini,Countryman,1.5,158000,499500,Hybridni,Automaticka,162,6
Mg,Mg3,1.5,0,499800,Hybridni,Automaticka,143,1
Toyota,Corolla,1.5,1,499899,Benzin,Automaticka,92,1
Honda,Odyssey,3.5,200373,499899,Benzin,Automaticka,182,11
Mg,Zs,1.0,0,499899,Benzin,Manualni,82,1
Mg,Mg3,1.5,5,499900,Hybridni,Automaticka,143,1
BMW,Rada 3,2.0,61430,499900,Benzin,Automaticka,180,10
Jeep,Avenger,1.2,5,499900,Benzin,Manualni,74,0
Mg,Zs,1.5,6,499900,Benzin,Manualni,85,0
Mg,Mg3,1.5,0,499900,Hybridni,Automaticka,143,1
Seat,Leon,2.0,119000,499900,Benzin,Manualni,213,8
BMW,Z4,3.0,156500,499900,Benzin,Automaticka,190,16
Jeep,Renegade,1.5,17500,499900,Hybridni,Automaticka,96,2
Jeep,Avenger,1.2,1,499900,Benzin,Manualni,74,0
Subaru,Impreza,2.0,67100,499900,Benzin,Automaticka,110,5
BMW,Rada 2,1.5,77945,499900,Benzin,Automaticka,103,6
Jeep,Compass,1.4,23960,499900,Benzin,Automaticka,125,5
Jeep,Cherokee,2.2,135441,499900,Benzin,Automaticka,147,6
Mg,Hs,1.5,18900,499900,Benzin,Automaticka,119,2
Mg,Mg3,1.5,9000,499900,Hybridni,Automaticka,143,1
Seat,Leon,2.0,112800,499900,Nafta,Automaticka,110,3
Mg,Zs,1.5,1,499900,Benzin,Manualni,85,0
Jeep,Grand Cherokee,3.0,190000,499900,Nafta,Automaticka,184,10
Mg,Zs,1.0,3000,499900,Benzin,Automaticka,82,1
Jeep,Avenger,1.2,21678,499900,Benzin,Manualni,74,1
Skoda,Scala,1.5,29730,499900,Benzin,Manualni,110,2
Audi,A4,3.0,163880,499900,Nafta,Automaticka,200,9
Jeep,Grand Cherokee,3.0,171000,499900,Nafta,Automaticka,184,10
Nissan,Navara,2.3,76000,499900,Nafta,Manualni,120,8
Audi,S5,3.0,155130,499900,Benzin,Automaticka,245,11
Citroen,C3 Aircross,1.2,25,499900,Benzin,Manualni,74,0
Mg,Mg3,1.5,11140,499900,Hybridni,Automaticka,143,1
Toyota,Proace City Verso,1.5,8,499900,Nafta,Manualni,75,1
Porsche,Cayenne,3.6,129104,499900,Benzin,Automaticka,220,13
BMW,Z4,3.0,143276,499900,Benzin,Automaticka,225,16
