Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Hyundai,I30,2021,38127,450000,Benzín,Automatická,118,Sauto
Kia,Sportage,2022,160875,450000,nafta,manual,100,Autoesa
Mazda,3,2020,46542,450000,Benzín,Manuální,90,Sauto
Seat,Ateca,2018,59102,450000,benzín,manual,110,Autoesa
Hyundai,Tucson,2019,32255,450000,nafta,manual,85,Autoesa
Mazda,Cx 30,2020,79500,450000,Benzín,Manuální,90,Sauto
Škoda,Octavia,2017,80010,450000,nafta,automat,135,Autoesa
Mercedes Benz,Glc,2016,210000,450000,Nafta,Automatická,125,Sauto
Opel,Insignia,2021,123499,450000,nafta,automat,128,Autoesa
Mazda,Cx 5,2017,57870,450000,Benzín,Manuální,121,Sauto
Nissan,Qashqai,2021,26949,450000,Benzín,Manuální,103,Sauto
Audi,Q5,2014,108887,450000,Nafta,Automatická,130,Sauto
Kia,Sportage,2022,160875,450000,Nafta,Manuální,100,Sauto
Peugeot,Rifter,2020,145831,450000,nafta,manual,96,Autoesa
Nissan,X Trail,2018,140167,450000,Nafta,Automatická,130,Sauto
Kia,Sportage,2019,93225,450000,Nafta,Manuální,100,Sauto
Mazda,Cx 30,2021,87971,450000,Benzín,Manuální,90,Sauto
Kia,Sportage,2019,93225,450000,nafta,manual,100,Autoesa
Citroen,Spacetourer,2017,193566,450000,Nafta,Manuální,85,Sauto
Jeep,Grand Cherokee,2016,159748,450000,Nafta,Automatická,184,Sauto
Seat,Leon,2020,97210,450000,Benzín,Automatická,110,Sauto
Seat,Arona,2023,16616,450000,Benzín,Manuální,81,Sauto
Seat,Arona,2023,37438,450000,Benzín,Manuální,81,Sauto
Kia,Proceed,2019,84514,450000,Benzín,Manuální,103,Sauto
Volkswagen,Passat,2020,152360,450000,nafta,manual,110,Autoesa
Nissan,X-Trail,2018,140167,450000,nafta,automat,130,Autoesa
BMW,Řada,2017,164586,450000,nafta,automat,190,Autoesa
Audi,Q5,2014,108887,450000,nafta,automat,130,Autoesa
Seat,Leon,2016,159500,450000,Benzín,Automatická,213,Sauto
Hyundai,I30,2021,38127,450000,benzín,automat,118,Autoesa
Nissan,X Trail,2019,73500,450000,Benzín,Automatická,107,Sauto
Mazda,Cx 5,2017,58165,450000,Benzín,Manuální,121,Sauto
Nissan,X Trail,2018,89200,450000,Benzín,Manuální,120,Sauto
Peugeot,Rifter,2019,99220,450000,benzín,automat,96,Autoesa
Volvo,S90,2017,175000,450000,Nafta,Automatická,140,Sauto
Audi,A6,2015,181058,450000,Nafta,Automatická,200,Sauto
Audi,A6,2016,219156,450000,nafta,automat,160,Autoesa
Mazda,Cx 9,2016,143000,450000,Benzín,Automatická,184,Sauto
Ford,Transit,2021,161083,450200,nafta,manual,96,Autoesa
Skoda,Octavia,2020,153502,451000,Nafta,Automatická,110,Sauto
Volkswagen,Golf,2021,174022,452000,Nafta,Automatická,110,Sauto
Volkswagen,Passat Variant,2021,159614,452000,Nafta,Automatická,110,Sauto
Ford,Transit,2016,85489,453800,nafta,manual,125,Autoesa
Hyundai,Bayon,2025,5,453890,Benzín,Manuální,58,Sauto
Hyundai,Bayon,2025,12,453890,Benzín,Manuální,58,Sauto
Skoda,Karoq,2020,173169,454000,Benzín,Manuální,110,Sauto
Peugeot,208,2024,0,454000,Benzín,Manuální,75,Sauto
Skoda,Octavia,2022,95198,454000,Nafta,Manuální,85,Sauto
Volkswagen,Tiguan,2019,167804,454000,Nafta,Manuální,110,Sauto
Bmw,Rada 3,2014,191913,454999,Nafta,Automatická,230,Sauto
Kia,Sportage,2019,59551,455000,benzín,automat,130,Autoesa
Kia,Sportage,2019,139297,455000,nafta,automat,136,Autoesa
Kia,XCeed,2020,45442,455000,benzín,automat,150,Autoesa
Nissan,Leaf,2021,30700,455000,Elektro,Automatická,110,Sauto
Mazda,3,2019,59000,455000,Benzín,Manuální,90,Sauto
Kia,Sportage,2019,59551,455000,Benzín,Automatická,130,Sauto
Mazda,Cx 3,2019,87000,455000,Benzín,Manuální,110,Sauto
Renault,Master,2022,125555,455000,nafta,manual,100,Autoesa
Seat,Alhambra,2020,184776,455000,nafta,automat,110,Autoesa
Seat,Ateca,2019,107000,455000,Benzín,Manuální,110,Sauto
Hyundai,Tucson,2018,105271,455000,nafta,automat,136,Autoesa
Kia,Sportage,2019,139297,455000,Nafta,Automatická,136,Sauto
Renault,Zoe,2020,24500,455000,Elektro,Automatická,80,Sauto
Mercedes Benz,Tridy B,2020,51856,455000,Benzín,Manuální,100,Sauto
Mazda,Mx 30,2021,41351,456000,Elektro,Automatická,107,Sauto
Renault,Clio,2025,0,456000,Benzín,Manuální,67,Sauto
Seat,Arona,2025,5,456400,Benzín,Manuální,70,Sauto
Seat,Arona,2024,0,456900,Benzín,Manuální,70,Sauto
Audi,Q5,2015,133806,457000,nafta,automat,140,Autoesa
Volkswagen,T Roc,2019,163478,457000,Nafta,Automatická,110,Sauto
Volkswagen,Passat Variant,2020,144231,457000,Nafta,Automatická,110,Sauto
Volvo,V60,2019,109498,458000,Nafta,Manuální,140,Sauto
Opel,Grandland X,2020,129541,458000,Nafta,Automatická,130,Sauto
Seat,Leon,2021,43409,458000,Benzín,Manuální,96,Sauto
Skoda,Superb,2021,173722,458000,Hybridní,Automatická,115,Sauto
Volkswagen,Passat,2022,165102,458000,Nafta,Automatická,110,Sauto
Volkswagen,Touran,2020,155464,458000,Nafta,Automatická,110,Sauto
Skoda,Karoq,2019,88671,458000,Benzín,Manuální,110,Sauto
Hyundai,I30,2022,14856,458000,hybridní,manual,117,Autoesa
Volkswagen,Sharan,2018,172395,458000,Nafta,Manuální,110,Sauto
Skoda,Karoq,2019,147933,458000,Benzín,Manuální,110,Sauto
Skoda,Octavia,2020,150000,458000,Nafta,Automatická,110,Sauto
Land Rover,Discovery Sport,2017,118385,458000,Nafta,Automatická,110,Sauto
Seat,Leon,2021,44246,458000,Benzín,Manuální,96,Sauto
Peugeot,508,2020,150338,458000,Nafta,Automatická,120,Sauto
Ford,S Max,2020,148675,458000,Nafta,Automatická,140,Sauto
Jeep,Grand Cherokee,2015,144290,458900,Nafta,Automatická,184,Sauto
Bmw,Rada 5,2019,150371,458999,Nafta,Automatická,140,Sauto
Opel,Astra,2024,2785,459000,Benzín,Manuální,81,Sauto
Citroen,C3,2025,1,459000,Benzín,Manuální,74,Sauto
Renault,Captur,2023,14999,459000,Benzín,Manuální,67,Sauto
Skoda,Octavia,2019,123114,459000,Nafta,Automatická,110,Sauto
Mazda,Cx 30,2021,124475,459000,Benzín,Automatická,90,Sauto
Opel,Grandland X,2020,109000,459000,Nafta,Automatická,130,Sauto
Seat,Arona,2023,9207,459000,CNG + benzín,Manuální,66,Sauto
Land Rover,Discovery,2017,213500,459000,Nafta,Automatická,183,Sauto
Opel,Grandland,2019,87242,459000,nafta,automat,130,Autoesa
Volkswagen,Golf,2021,59257,459000,CNG + benzín,Automatická,96,Sauto
Nissan,Leaf,2021,32900,459000,Elektro,Automatická,110,Sauto
Ford,Mondeo,2021,175980,459000,Nafta,Automatická,140,Sauto
Skoda,Superb,2020,185183,459000,Nafta,Automatická,110,Sauto
Volkswagen,Golf,2022,31518,459000,Benzín,Manuální,81,Sauto
Peugeot,5008,2019,103836,459000,Nafta,Manuální,96,Sauto
Renault,Koleos,2019,155531,459000,Nafta,Automatická,140,Sauto
Volkswagen,Touran,2020,153527,459000,Nafta,Automatická,85,Sauto
Skoda,Octavia,2021,178993,459000,Nafta,Automatická,110,Sauto
Mercedes Benz,Tridy B,2020,110350,459000,Benzín,Manuální,100,Sauto
Mazda,Cx 30,2019,84200,459000,Benzín,Manuální,90,Sauto
Volvo,V90,2019,152200,459000,Nafta,Manuální,140,Sauto
Volkswagen,Touran,2018,96369,459000,Benzín,Manuální,81,Sauto
Bmw,X5,2016,205000,459000,Nafta,Automatická,155,Sauto
Volkswagen,Golf Variant,2021,59257,459000,CNG + benzín,Automatická,96,Sauto
Peugeot,Expert,2020,61550,459800,nafta,manual,110,Autoesa
Peugeot,Boxer,2021,94719,459800,nafta,manual,103,Autoesa
Audi,A6 Allroad,2012,173991,459800,Nafta,Automatická,230,Sauto
Peugeot,Boxer,2021,75728,459800,nafta,manual,103,Autoesa
Seat,Arona,2025,5,459800,Benzín,Manuální,70,Sauto
Citroen,C4,2024,5,459900,Benzín,Manuální,96,Sauto
Hyundai,I30,2021,27971,459900,Benzín,Manuální,117,Sauto
Mercedes Benz,Tridy E,2017,205000,459900,Nafta,Automatická,110,Sauto
Volvo,V90,2017,205530,459900,Nafta,Automatická,173,Sauto
Mazda,6,2020,147309,459900,Nafta,Automatická,135,Sauto
Kia,Sportage,2020,62022,459900,Benzín,Manuální,97,Sauto
Hyundai,Tucson,2021,86907,459900,Benzín,Manuální,110,Sauto
Ford,Focus,2022,17547,459900,Benzín,Manuální,92,Sauto
Hyundai,I30,2022,42614,459900,Nafta,Manuální,100,Sauto
Citroen,C4,2024,25,459900,Benzín,Manuální,96,Sauto
Volkswagen,T Cross,2021,44533,459990,Benzín,Automatická,81,Sauto
Hyundai,I30,2022,26691,459990,Benzín,Automatická,117,Sauto
Hyundai,I30,2022,28232,459990,Benzín,Automatická,117,Sauto
Peugeot,Rifter,2019,80069,459999,Nafta,Manuální,96,Sauto
Land Rover,Range Rover,2013,234364,459999,Nafta,Automatická,215,Sauto
Jeep,Cherokee,2018,140496,460000,Nafta,Automatická,147,Sauto
Volkswagen,Passat,2020,118060,460000,nafta,manual,110,Autoesa
Mazda,3,2021,112846,460000,Benzín,Automatická,90,Sauto
Mazda,3,2021,50681,460000,Benzín,Manuální,90,Sauto
Kia,Ceed,2024,18109,460000,benzín,automat,118,Autoesa
BMW,X1,2016,129978,460000,nafta,automat,140,Autoesa
Mercedes-Benz,Třída,2019,25659,460000,benzín,manual,80,Autoesa
Bmw,Rada 3,2020,209608,460000,Nafta,Automatická,140,Sauto
Citroën,C4,2021,58519,460000,nafta,automat,96,Autoesa
Hyundai,Tucson,2020,86134,460000,Nafta,Manuální,100,Sauto
Volkswagen,Arteon,2018,96110,460000,benzín,automat,110,Autoesa
Škoda,Superb,2019,172946,460000,nafta,automat,140,Autoesa
Audi,A4,2020,162997,460000,Nafta,Automatická,100,Sauto
Seat,Ateca,2020,31437,460000,Benzín,Manuální,110,Sauto
Volkswagen,Passat,2016,97021,460000,nafta,automat,140,Autoesa
Seat,Ateca,2017,129884,460000,nafta,automat,140,Autoesa
Opel,Mokka,2022,68180,460000,Benzín,Automatická,96,Sauto
Mazda,Cx 3,2018,79279,460000,Benzín,Automatická,110,Sauto
Citroen,C4,2021,46610,460000,Benzín,Automatická,96,Sauto
Citroen,C4,2021,58519,460000,Nafta,Automatická,96,Sauto
Audi,A1,2014,100175,460000,Benzín,Automatická,136,Sauto
Hyundai,Tucson,2020,86134,460000,nafta,manual,100,Autoesa
Seat,Ateca,2016,153195,460000,Nafta,Automatická,140,Sauto
Land Rover,Discovery,2016,199800,460000,Nafta,Automatická,155,Sauto
Peugeot,208,2024,0,460000,Benzín,Manuální,75,Sauto
Seat,Ateca,2019,132708,460000,Benzín,Manuální,110,Sauto
Kia,Cee D,2024,18109,460000,Benzín,Automatická,118,Sauto
Land Rover,Discovery Sport,2016,102493,460000,Nafta,Automatická,132,Sauto
Opel,Vivaro E,2021,223000,460000,Elektro,Automatická,100,Sauto
Audi,A4 Allroad,2018,184444,460000,Nafta,Automatická,140,Sauto
Volkswagen,Golf,2022,153517,462000,Nafta,Automatická,85,Sauto
Jeep,Renegade,2021,46500,462900,Hybridní,Automatická,96,Sauto
Seat,Alhambra,2020,192715,464000,Nafta,Manuální,110,Sauto
Porsche,Cayenne,2012,224900,464464,Nafta,Automatická,180,Sauto
Mazda,Mx 5,2016,144902,464800,Benzín,Manuální,118,Sauto
Jeep,Compass,2017,75773,464900,Nafta,Automatická,103,Sauto
Citroen,C3,2025,1,464990,Benzín,Manuální,74,Sauto
Seat,Leon,2021,52658,465000,Benzín,Manuální,96,Sauto
Peugeot,5008,2019,143312,465000,nafta,automat,96,Autoesa
Renault,Espace,2017,89134,465000,nafta,automat,118,Autoesa
Volkswagen,Passat Variant,2021,176104,465000,Nafta,Automatická,110,Sauto
Audi,A4,2016,147332,465000,nafta,automat,140,Autoesa
Volkswagen,Passat Variant,2021,136925,465000,Nafta,Automatická,110,Sauto
Hyundai,Bayon,2025,12,465890,Benzín,Manuální,58,Sauto
Volkswagen,Golf,2021,144998,466000,Nafta,Automatická,110,Sauto
Skoda,Octavia,2019,160911,467000,Nafta,Automatická,135,Sauto
Mazda,3,2020,36075,467999,Benzín,Manuální,132,Sauto
Mazda,3,2019,40369,468000,Benzín,Automatická,90,Sauto
Volkswagen,Tiguan,2020,164558,468000,Nafta,Manuální,110,Sauto
Ford,Galaxy,2019,165745,468000,Nafta,Automatická,110,Sauto
Seat,Alhambra,2018,132150,468000,Nafta,Automatická,110,Sauto
Volkswagen,Passat,2021,178740,468000,Nafta,Automatická,147,Sauto
Peugeot,2008,2021,23353,468000,Elektro,Automatická,100,Sauto
Peugeot,2008,2020,34848,468000,Elektro,Automatická,100,Sauto
Seat,Ateca,2018,101900,468000,Benzín,Manuální,110,Sauto
Seat,Leon,2022,42202,468000,Benzín,Manuální,96,Sauto
Volvo,Xc40,2018,159549,468000,Nafta,Automatická,110,Sauto
Skoda,Octavia,2020,141259,468000,Nafta,Automatická,110,Sauto
Volkswagen,Passat,2020,144062,468000,Nafta,Automatická,110,Sauto
Volvo,V60,2019,119141,468000,Nafta,Manuální,140,Sauto
Peugeot,2008,2025,1,468500,Benzín,Manuální,74,Sauto
Audi,A4,2021,219605,468900,Nafta,Automatická,100,Sauto
Mazda,2 Hybrid,2023,31700,469000,Hybridní,Automatická,85,Sauto
Mazda,Mx 30,2022,33866,469000,Elektro,Automatická,107,Sauto
Mercedes Benz,Tridy M,2013,187012,469000,Benzín,Automatická,225,Sauto
Mazda,Cx 3,2017,11600,469000,Benzín,Manuální,88,Sauto
Mazda,6,2019,94993,469000,Nafta,Manuální,110,Sauto
Volkswagen,Sharan,2016,217435,469000,Nafta,Automatická,110,Sauto
Porsche,Cayenne,2011,189000,469000,Nafta,Automatická,176,Sauto
Mazda,Cx 5,2020,139000,469000,Benzín,Manuální,121,Sauto
Ford,S Max,2020,93000,469000,Nafta,Manuální,110,Sauto
Seat,Tarraco,2020,166004,469000,Benzín,Manuální,110,Sauto
