Značka,Model,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Opel,Zafira,178837,39000,Benzin,Manualni,74,21
Seat,Cordoba,129000,39000,Benzin,Manualni,63,17
Audi,A2,215255,39000,Benzin,Manualni,55,24
Renault,Thalia,164389,39000,Benzin,Manualni,55,21
Nissan,Terrano,250500,39000,Nafta,Manualni,92,29
Renault,Kangoo,145800,39000,Benzin,Manualni,55,22
Skoda,Octavia,254735,39000,Benzin,Manualni,75,16
Renault,Thalia,144800,39877,Benzin,Manualni,55,19
Volkswagen,Golf,183100,39898,Benzin,Manualni,55,24
Mazda,5,238361,39900,Nafta,Manualni,81,18
Mazda,2,201296,39900,Benzin,Manualni,55,19
Opel,Corsa,193001,39900,Benzin,Manualni,59,16
Peugeot,407,181634,39900,Nafta,Manualni,80,18
Citroen,C2,195800,39900,Benzin,Manualni,44,16
Seat,Ibiza,180108,39900,Benzin,Manualni,55,22
Audi,A3,459096,39900,Nafta,Manualni,77,19
Renault,Thalia,151960,39900,Benzin,Manualni,72,19
Renault,Scenic,253505,39900,Nafta,Automaticka,88,18
Mazda,626,166000,39900,Benzin,Manualni,85,24
Renault,Megane,276352,39900,Nafta,Manualni,85,21
Nissan,Qashqai,289837,39900,Nafta,Manualni,110,18
Peugeot,206,194901,39900,Benzin,Manualni,55,20
Ford,Fusion,173591,39990,Benzin,Manualni,59,18
Ford,Focus,205110,39990,Nafta,Manualni,66,18
Ford,Focus,331126,39990,Nafta,Manualni,85,16
Renault,Clio,144329,39990,Nafta,Manualni,63,19
Audi,A3,263000,39990,Benzin,Manualni,75,21
Audi,80,285221,39999,Benzin,Manualni,66,33
Citroen,C4 Picasso,369000,39999,Benzin,Manualni,92,15
Seat,Alhambra,398147,39999,Nafta,Manualni,103,17
Ford,Fiesta,142480,39999,Benzin,Manualni,59,20
Volvo,V70,220000,39999,Benzin,Manualni,103,22
Nissan,Almera,146062,40000,Benzin,Manualni,66,20
Nissan,Almera,152000,40000,Benzin,Manualni,72,22
Citroen,C3,198048,40000,Benzin,Manualni,54,18
Opel,Astra,309816,40000,Nafta,Manualni,74,15
Nissan,Micra,154978,40000,Benzin,Manualni,59,22
Nissan,Micra,154978,40000,Benzin,Manualni,59,22
Peugeot,307,231235,40000,Nafta,Manualni,66,22
Peugeot,307,194193,40000,Nafta,Manualni,50,17
Renault,Megane,182986,40000,Nafta,Manualni,78,18
Renault,Megane,182986,40000,Nafta,Manualni,78,18
Seat,Leon,209751,40000,Benzin,Manualni,75,19
Skoda,Fabia,165603,40000,Benzin,Manualni,47,19
Skoda,Fabia,209003,40000,Benzin,Manualni,55,19
Opel,Zafira,211000,40000,Benzin,Manualni,69,19
Renault,Megane,221693,40000,Benzin,Manualni,72,21
Renault,Thalia,120903,40000,Benzin,Manualni,55,16
Renault,Clio,201689,40000,Benzin,Manualni,65,19
Citroen,C4,190926,40000,Benzin,Manualni,80,18
Citroen,Berlingo,286747,40000,Benzin,Manualni,55,20
Renault,Espace,272000,40000,Benzin,Manualni,120,22
Citroen,C5,275000,40000,Nafta,Manualni,100,18
Renault,Clio,133472,40000,Benzin,Manualni,43,20
Opel,Zafira,211000,40000,Benzin,Manualni,69,19
Audi,A2,170045,40000,Benzin,Manualni,55,23
Renault,Clio,213837,40000,Benzin,Manualni,65,20
Citroen,C4,190926,40000,Benzin,Manualni,80,18
Citroen,C2,111630,40000,Benzin,Manualni,44,19
Peugeot,206,148114,40000,Benzin,Manualni,55,19
Ford,Fiesta,111086,40000,Benzin,Manualni,51,18
Peugeot,307,196104,40000,Benzin,Manualni,100,22
Renault,Modus,191184,40000,Benzin,Manualni,55,17
Citroen,C2,111630,40000,Benzin,Manualni,44,19
Ford,Fiesta,144542,40000,Benzin,Manualni,51,22
Peugeot,207,308098,40000,Nafta,Manualni,80,17
Renault,Clio,100558,40000,Benzin,Manualni,55,16
Citroen,C3 Picasso,226000,41999,Benzin,Manualni,70,16
Skoda,Fabia,248848,42000,Benzin,Manualni,55,23
Renault,Laguna,215000,42000,Benzin,Manualni,99,19
Peugeot,107,113091,42000,Benzin,Manualni,50,16
Hyundai,Matrix,107369,42000,Nafta,Manualni,81,16
Renault,Scenic,195620,42000,Benzin,Manualni,79,23
Renault,Thalia,103505,42000,Benzin,Manualni,72,20
Volkswagen,Polo,236305,43000,Nafta,Manualni,51,17
Citroen,C4,87254,43000,Benzin,Manualni,80,18
Seat,Toledo,333852,43000,Nafta,Manualni,77,21
Hyundai,Getz,170912,43000,Benzin,Manualni,71,18
Citroen,C4,159930,44000,Benzin,Manualni,80,20
Citroen,C8,229095,44000,Nafta,Manualni,94,21
Ford,Fusion,102853,44000,Benzin,Manualni,59,20
Renault,Megane,236897,44000,Benzin,Manualni,82,17
Ford,Fusion,228090,44000,Benzin,Manualni,59,18
Volvo,V50,239134,44000,Nafta,Manualni,100,21
Renault,Modus,246000,44000,Nafta,Manualni,63,21
Volvo,V50,303613,44770,Nafta,Manualni,100,21
Mazda,3,151935,44800,Benzin,Manualni,62,20
Ford,C Max,232955,44800,Nafta,Manualni,80,19
Ford,Fusion,206791,44990,Benzin,Manualni,74,22
Citroen,C3 Picasso,257713,44990,Nafta,Manualni,80,16
Opel,Astra,215565,44999,Nafta,Manualni,74,20
Opel,Meriva,169936,45000,Nafta,Manualni,74,16
Seat,Leon,200098,45000,Benzin,Manualni,55,23
BMW,Rada 1,236000,45000,Benzin,Manualni,85,20
Ford,Fusion,174733,45000,Benzin,Manualni,59,22
Ford,C-Max,191161,45000,Nafta,Manualni,80,19
Opel,Meriva,163086,45000,Benzin,Manualni,77,18
Opel,Meriva,163086,45000,Benzin,Manualni,77,18
Nissan,Pixo,63798,45000,Benzin,Manualni,50,16
Ford,Focus,262226,45000,Benzin,Manualni,74,17
Mazda,2,171505,45000,Benzin,Manualni,59,18
Opel,Zafira,234040,45000,Benzin,Manualni,92,25
Citroen,C4,195835,45000,Benzin,Manualni,80,18
Renault,Megane,280000,45000,Nafta,Manualni,96,17
Citroen,Berlingo,117699,45000,Benzin,Manualni,80,21
Seat,Alhambra,393103,45000,Nafta,Manualni,85,22
Hyundai,Santa Fe,373000,45000,Nafta,Manualni,92,21
Opel,Corsa,223500,45000,Benzin,Manualni,59,18
Citroen,C4 Picasso,212568,45000,Nafta,Automaticka,80,17
Citroen,C3,93193,45000,Benzin,Manualni,54,16
Citroen,Grand C4 Picasso,298000,45000,Nafta,Manualni,80,18
Renault,Modus,175648,45000,Benzin,Manualni,55,20
Opel,Corsa,250659,45000,Benzin,Manualni,59,18
Citroen,C4,212568,45000,Nafta,Automaticka,80,17
Skoda,Fabia,96728,45000,Benzin,Manualni,40,20
Citroen,C3,138704,45000,Benzin,Manualni,54,18
Citroen,C1,107073,45000,Benzin,Manualni,50,17
Hyundai,Atos,102121,45000,Benzin,Manualni,46,18
Hyundai,Atos,85033,45000,Benzin,Manualni,46,19
Volkswagen,New,226649,45000,Nafta,Manualni,66,26
Citroen,C4,221236,45000,Nafta,Manualni,66,17
Volkswagen,Golf,219390,45000,Benzin,Manualni,55,23
Nissan,Micra,303509,45000,Benzin,Manualni,72,12
Citroen,C3,157885,45000,Benzin,Manualni,44,16
Renault,Modus,175648,45000,Benzin,Manualni,55,20
Opel,Corsa,223500,45000,Benzin,Manualni,59,18
Seat,Toledo,322188,45000,Nafta,Manualni,77,19
Renault,Laguna,155909,45000,Nafta,Manualni,88,23
Peugeot,207,186442,45000,Benzin,Manualni,65,18
Citroen,C3,157885,45000,Benzin,Manualni,44,16
Seat,Alhambra,309022,45000,Nafta,Manualni,85,21
Mazda,6,251229,45000,Benzin,Manualni,108,18
Renault,Scenic,197022,45000,Benzin,Automaticka,79,24
Renault,Laguna,271000,45000,Nafta,Manualni,110,19
Citroen,C3,184016,45000,Benzin,Manualni,44,18
Hyundai,Matrix,130542,45000,Benzin,Manualni,76,17
Hyundai,Atos,85033,45000,Benzin,Manualni,46,19
Mazda,5,185600,45000,Benzin,Manualni,85,20
